Names,Temperature,Pressure,ActualValue,ErrorValue,Name_clean,Cation,Anion,CationSMILES,AnionSMILES,SMILES,SMILES_status
N-methyl-2-hydroxyethylammonium butanoate,278.15,101.325,1052.7,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,278.4,101.325,1052.5,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,278.65,101.325,1052.4,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,278.9,101.325,1052.2,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,279.15,101.325,1052.0,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,279.4,101.325,1051.9,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,279.65,101.325,1051.7,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,279.9,101.325,1051.5,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,280.15,101.325,1051.4,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,280.4,101.325,1051.2,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,280.65,101.325,1051.0,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,280.9,101.325,1050.9,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,281.15,101.325,1050.7,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,281.4,101.325,1050.5,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,281.65,101.325,1050.4,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,281.9,101.325,1050.2,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,282.15,101.325,1050.0,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
N-methyl-2-hydroxyethylammonium butanoate,282.4,101.325,1049.9,2.2,N-methyl-2-hydroxyethylammonium butanoate,N-methyl-2-hydroxyethylammonium,butanoate,,CCCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
