Name,"Temperature, K","Pressure, kPa",ActualValue,ErrorValue,Name_clean,Cation,Anion,CationSMILES,AnionSMILES,SMILES,SMILES_status
2-hydroxy-N-methylethanaminium propionate,287.15,100.0,323.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,288.15,100.0,323.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,288.15,100.0,323.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,288.15,100.0,324.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,289.15,100.0,323.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,289.15,100.0,324.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,289.15,100.0,324.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,289.15,100.0,325.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,290.15,100.0,323.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,290.15,100.0,324.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,290.15,100.0,325.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,290.15,100.0,325.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,290.15,100.0,326.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,291.15,100.0,324.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,291.15,100.0,325.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,291.15,100.0,325.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,291.15,100.0,326.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,291.15,100.0,326.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,292.15,100.0,325.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,292.15,100.0,325.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,292.15,100.0,326.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,292.15,100.0,326.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,292.15,100.0,326.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,293.15,100.0,325.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,293.15,100.0,326.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,293.15,100.0,326.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,293.15,100.0,326.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,293.15,100.0,327.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,294.15,100.0,325.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,294.15,100.0,326.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,294.15,100.0,327.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,294.15,100.0,327.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,294.15,100.0,327.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,295.15,100.0,326.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,295.15,100.0,327.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,295.15,100.0,327.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
2-hydroxy-N-methylethanaminium propionate,295.15,100.0,327.0,14.0,2-hydroxy-N-methylethanaminium propionate,2-hydroxy-N-methylethanaminium,propionate,,CCC(=O)[O-],,parsed;cation=unresolved;anion=builtin
