Names,Temperature,Pressure,ActualValue,ErrorValue,Name_clean,Cation,Anion,CationSMILES,AnionSMILES,SMILES,SMILES_status
ethylammonium nitrate,288.15,101.325,0.0526,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,293.15,101.0,0.0435,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,293.15,101.325,0.0435,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,298.15,101.0,0.0365,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,298.15,101.325,0.0365,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,303.15,101.0,0.031,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,303.15,101.325,0.031,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,308.15,101.0,0.0265,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,308.15,101.325,0.0265,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,313.15,101.0,0.0228,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,313.15,101.325,0.0228,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,318.15,101.0,0.02,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,318.15,101.325,0.02,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,323.15,101.0,0.0176,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,323.15,101.325,0.0176,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,328.15,101.0,0.0156,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,328.15,101.325,0.0156,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,333.15,101.0,0.0138,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,333.15,101.325,0.0138,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,338.15,101.0,0.0125,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,338.15,101.325,0.0125,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,343.15,101.0,0.0112,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,343.15,101.325,0.0112,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
ethylammonium nitrate,348.15,101.0,0.0102,0.0,ethylammonium nitrate,ethylammonium,nitrate,CC[NH3+],[O-][N+](=O)[O-],CC[NH3+].[O-][N+](=O)[O-],ok
