IL_Name,row_count
1-ethyl-3-methylimidazolium ethylsulfate,839
1-butyl-3-methylimidazolium methylsulfate,149
1-ethyl-3-methylimidazolium methylsulfate,133
1-ethyl-3-methylimidazolium octylsulfate,112
1-butyl-3-methylimidazolium octylsulfate,104
3-ethyl-1-methyl-1H-imidazolium hexylsulfate,96
"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",93
3-ethyl-1-methylimidazolium butylsulfate,86
1-ethyl-3-methylimidazolium hydrogensulfate,80
"N-ethyl-N-methyl-N,N-bis(2-hydroxyethyl)ammonium bis(trifluoromethanesulfonyl)amide",76
1-ethyl-3-methylimidazolium diethylphosphate,74
tributylmethylphosphonium methylsulfate,57
"1,3-dimethylimidazolium dimethylphosphate",53
1-butyl-3-methylimidazolium hydrogensulfate,45
"1,3-dimethylimidazolium methylphosphonate",32
1-methyl-3-pentylimidazolium galliumtetrachloride,30
1-ethyl-3-methylimidazolium methylphosphonate,28
1-butyl-3-methylimidazolium 2-(2-methoxyethoxy)ethylsulfate,26
"1,3-diethylimidazolium ethylsulfate",25
1-metyl-3-propylimidazolium hydrogencarbonate,25
"1-butyl-2,3-dimethylimidazolium hydrogensulfate",24
1-butyl-3-methylimidazolium dihydrogenphosphate,24
1-butyl-3-methylimidazolium hydrogencarbonate,24
"1-ethyl-2,3-dimethylimidazolium hydrogensulfate",24
1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy)ethylsulfate,24
1-methyl-3-pentylimidazolium dihydrogenphosphate,24
1-methyl-3-propylimidazolium dihydrogenphosphate,24
"2,3-dimethyl-1-pentylimidazolium hydrogensulfate",24
"2,3-dimethyl-1-propylimidazolium hydrogensulfate",24
3-methyl-1-pentylimidazolium hydrogencarbonate,24
triethylammonium dihydrogenphosphate,22
1-ethylpyridinium ethylsulfate,19
1-(2-ethoxyethyl)-3-methylimidazolium threonine,18
1-(4-methoxybutyl)-3-methylimidazolium L-alaninate,18
1-benzyl-3-methyl-1H-imidazolium methylsulfate,17
"N-ethyl-N-(2-hydroxyethyl)-N,N-dimethylammonium ethylsulfate",17
1-butylimidazolium hydrogensulfate,16
1-methylimidazolium hydrogensulfate,16
diethylammonium hydrogensulfate,16
1-ethyl-3-methylimidazolium decylsulfate,15
"3,3'-(butane-1,4-diyl)bis(1-methyl-1H-imidazol-3-ium) hydrogensulfate (1:2)",15
tris(2-hydroxyethyl)methylammonium methylsulfate,15
1-butyl-3-(2-cyanoethyl)-1H-imidazol-3-ium dodecylsulfate,13
1-butyl-3-propanenitrileimidazolium dioctysulfosuccinate,13
1-butyl-3-propanenitrileimidazolium trifluoromethanesulfonate,13
1-decyl-3-propanenitrileimidazolium dioctysulfosuccinate,13
3-(2-cyanoethyl)-1-hexyl-1H-imidazolium dodecylsulfate,13
N-butyronitrilepyridinium bis(trifluoromethanesulfonyl)imide,13
1-butyl-3-methyl-1H-imidazolium ethylsulfate,12
"1H-Imidazolium,3-butyl-1-methyl-, 1,1,2,3,3,3-hexafluoro-1-propanesulfonate(1:1)",12
"1,3-dimethylpyridinium methylsulfate",11
2-(5-chloro-2-((1-propylpyridinium-2-yl)oxy)pyridinium-1-yl)ethylsulfate tetrafluoroborate,11
2-ethyl-1-methylpyridinium methylsulfate,11
1-hexyl-3-methylimidazolium dimethylphosphate,10
1-methyl-3-octylimidazolium methylsulfate,10
1-(2-cyanoethyl)imidazolium hydrogensulfate,9
1-butylnicotinicacidbutylester bis[(trifluoromethyl)sulfonyl]imide,9
"1,3-diethyl-1H-imidazol-3-ium diethylphosphate",8
1-butyl-3-methylimidazolium dibutylphosphate,8
3-methyl-1-octylimidazolium trihydrogendiphosphate,8
"N,N-diethyl-N-methylethanaminium methylsulfate",8
"N-ethyl-N,N-dimethyl-N-butylammonium ethylsulfate",8
triethylammonium hydrogensulfate,8
1-hexyl-3-methylimidazolium ethylsulfate,7
1-hexyl-3-methylimidazolium methylsulfate,7
1-decyl-3-methylimidazolium trihydrogendiphosphate,6
1-ethyl-3-methylimidazolium hydrogenethylphosphonate,5
"1-butanaminium N.N.N-tributyl-,saltwith2,4,6-trinitrophenol(1:1)",4
1-methyl-3-octylimidazolium ethylsulfate,4
ethylammonium hydrogensulfate,4
trimethylammonium dihydrogenphosphate,4
trimethylammonium hydrogensulfate,4
1-methyl-3-octylimidazolium 2-(2-methoxyethoxy)ethylsulfate,3
1-butyl-3-ethyl-1H-imidazol-3-ium diethylphosphate,2
tetrabutylammonium dodecylsulfate,2
"1,1'-(butane-1,4-diyl)bis(3-methylimidazolium) imidazole-2-carboxylate(1:2)",1
1-butyl-3-ethylimidazolium ethylsulfate,1
1-butyl-3-methylimidazolium dodecylsulfate,1
1-butyl-3-vinyl-1H-imidazol-3-ium L-histidinate,1
1-butyl-3-vinyl-1H-imidazol-3-ium L-lysinate,1
1-butyl-3-vinyl-1H-imidazol-3-ium glycinate,1
1-hexyl-3-methylimidazolium hydrogensulfate,1
1-isopropyl-3-methylimidazolium hydrogencarbonate,1
1-octyl-3-methylimidazolium hydrogensulfate,1
tributylmethylammonium hydrogensulfate,1
trihexylammonium hydrogensulfate,1
