ion_type,Family,FullName,ShortName,Match,row_count
anion,amino_acid,L-serinate,LSNT,serinate,134
anion,amino_acid,glycinate,AMOE,glycinate,132
anion,amino_acid,L-alaninate,LANT,alaninate,118
anion,amino_acid,L-prolinate,LPNE,prolinate,103
anion,amino_acid,DL-threoninate,LTNT,threoninate,54
anion,amino_acid,L-threoninate,LTNT,threoninate,37
anion,amino_acid,threonine,LTNT,threonine,36
anion,amino_acid,DL-glutamate,ACBT,glutamate,32
anion,amino_acid,taurate,AMTS,taurate,32
anion,amino_acid,taurinate,AMTS,taurinate,26
anion,amino_acid,L-lysinate,LLST,lysinate,25
anion,amino_acid,L-asparaginate,LAGE,asparaginate,23
anion,amino_acid,L-valinate,DYDL,valinate,23
anion,amino_acid,glycine,AMOE,glycine,20
anion,amino_acid,DL-alaninate,LANT,alaninate,18
anion,amino_acid,aspartate,SACE,aspartate,14
anion,amino_acid,L-cysteinate,LCNT,cysteinate,10
anion,amino_acid,L-leucinate,LLNE,leucinate,7
anion,amino_acid,L-phenylalaninate,PHLT,alaninate,3
anion,amino_acid,L-argininate,LGTE,argininate,2
anion,amino_acid,L-histidinate,LHTD,histidinate,2
anion,amino_acid,3-(2-naphthyl)-L-alaninate,NPLA,alaninate,1
anion,amino_acid,L-glutamate,ACBT,glutamate,1
anion,amino_acid,L-isoleucinate,LILC,leucinate,1
anion,amino_acid,L-methioninate,LMTN,methioninate,1
anion,amino_acid,L-tryptophanate,LTTP,tryptophanate,1
anion,amino_acid,L-tyrosinate,LTRS,tyrosinate,1
anion,amino_acid,N-(carboxymethyl)glycinate,NCGE,glycinate,1
anion,carbonate,hydrogen carbonate,HNCT,carbonate,49
anion,carboxylate,acetate,ACTE,acetate,1036
anion,carboxylate,formate,FOMT,formate,625
anion,carboxylate,trifluoroacetate,TFAT,acetate,371
anion,carboxylate,butanoate,BUTE,butanoate,368
anion,carboxylate,propionate,PRPA,propionate,325
anion,carboxylate,pentanoate,PETA,pentanoate,289
anion,carboxylate,isobutyrate,ISBT,butyrate,244
anion,carboxylate,hexanoate,HENT,hexanoate,109
anion,carboxylate,phenolate,PHTE,phenolate,105
anion,carboxylate,(S)-2-hydroxypropanoate,LATE,propanoate,104
anion,carboxylate,octanoate,OCNT,octanoate,92
anion,carboxylate,(S)-2-amino-4-carboxybutanoate,ACBT,butanoate,89
anion,carboxylate,lactate,LATE,lactate,89
anion,carboxylate,oleate,OLTE,oleate,72
anion,carboxylate,propanoate,PRPA,propanoate,67
anion,carboxylate,decanoate,DETE,decanoate,66
anion,carboxylate,butyrate,BUTE,butyrate,58
anion,carboxylate,3-sulfobenzoate,SLBE,benzoate,39
anion,carboxylate,2-(bis(2-ethylhexyl)amino)-2-oxoacetate,BOOE,acetate,38
anion,carboxylate,nonafluoropentanoate,NFPT,pentanoate,38
anion,carboxylate,perfluoropentanoate,NFPT,pentanoate,34
anion,carboxylate,salicylate,SATE,salicylate,29
anion,carboxylate,ammonioacetate,AMOE,acetate,28
anion,carboxylate,(S)-2-amino-3-carboxypropanoate,ACBP,propanoate,23
anion,carboxylate,acetylacetonate,ALTE,acetylacetonate,23
anion,carboxylate,2-(2-(dioctylamino)-2-oxoethoxy)acetate,DOOE,acetate,19
anion,carboxylate,glycolate,GLTE,glycolate,19
anion,carboxylate,L-lactate,HYPE,lactate,18
anion,carboxylate,benzoate,BNZE,benzoate,17
anion,carboxylate,4-ethyloctanoate,ELTA,octanoate,15
anion,carboxylate,"2,2,2-trifluoroacetate",TFAT,acetate,8
anion,carboxylate,2-methoxy-2-oxoacetate,MYOE,acetate,5
anion,carboxylate,"2,2-dimethylpropanoate",DYLE,propanoate,4
anion,carboxylate,2-methylpropanoate,ISBT,propanoate,4
anion,carboxylate,imidazole-2-carboxylate,IECE,carboxylate,4
anion,carboxylate,"2,2,3,3,4,4,5,5,5-nonafluoropentanoate",NFPT,pentanoate,3
anion,carboxylate,4-oxopentanoate,OPTE,pentanoate,3
anion,carboxylate,heptadecanoate,HPDT,decanoate,3
anion,carboxylate,undecanoate,UNTE,decanoate,3
anion,carboxylate,"2,2'-azanediyldiacetate",ALDE,acetate,1
