candidate_id,IL_Name,canonical_il_key,cation_family,anion_family,cation_support_count,anion_support_count,combined_ion_support,AD_status,descriptor_knn_distance,benchmark_identity_present,complete_main_window_prediction,main_window_temperature_count,family_stratified_selection,fixed_before_candidate_ranking,selection_rule
REF-0001,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,IQQRAVYLUAZUGX-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,aromatic_nitrogen_cation,sulfur_containing,60,169,229,in_domain,0.6757101597937508,True,True,12,False,True,highest combined cation-plus-anion support; canonical_il_key ascending tie-break
REF-0002,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,NJMWOUFKYKNWDW-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,aromatic_nitrogen_cation,sulfur_containing,48,169,217,in_domain,1.0137059053390114,True,True,12,False,True,highest combined cation-plus-anion support; canonical_il_key ascending tie-break
REF-0003,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,PYVOHVLEZJMINC-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,phosphonium,sulfur_containing,22,169,191,in_domain,3.9478149788831463,True,True,12,False,True,highest combined cation-plus-anion support; canonical_il_key ascending tie-break
REF-0004,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,RVEJOWGVUQQIIZ-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,aromatic_nitrogen_cation,sulfur_containing,22,169,191,in_domain,0.8645452065017192,True,True,12,False,True,highest combined cation-plus-anion support; canonical_il_key ascending tie-break
REF-0005,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,WXMVWUBWIHZLMQ-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,aromatic_nitrogen_cation,sulfur_containing,21,169,190,in_domain,1.5377121234930675,True,True,12,False,True,highest combined cation-plus-anion support; canonical_il_key ascending tie-break
REF-0006,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,WVDDUSFOSWWJJH-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,aromatic_nitrogen_cation,sulfur_containing,14,169,183,in_domain,0.7384162784284886,True,True,12,False,True,highest combined cation-plus-anion support; canonical_il_key ascending tie-break
REF-0007,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,LSFWFJFDPRFPBK-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,aromatic_nitrogen_cation,sulfur_containing,12,169,181,in_domain,0.7318137372878317,True,True,12,False,True,highest combined cation-plus-anion support; canonical_il_key ascending tie-break
REF-0008,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,LDVVBLGHGCHZBJ-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,aromatic_nitrogen_cation,sulfur_containing,11,169,180,in_domain,2.30450815722399,True,True,12,False,True,highest combined cation-plus-anion support; canonical_il_key ascending tie-break
REF-0009,"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",XUAXVBUVQVRIIQ-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,aromatic_nitrogen_cation,sulfur_containing,9,169,178,in_domain,0.9178127715564472,True,True,12,False,True,highest combined cation-plus-anion support; canonical_il_key ascending tie-break
REF-0010,1-(2-hydroxyethyl)-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||NHHWJSXMTZIPES-UHFFFAOYSA-N,aromatic_nitrogen_cation,sulfur_containing,9,169,178,in_domain,3.982750676450528,True,True,12,False,True,highest combined cation-plus-anion support; canonical_il_key ascending tie-break
