split,property,NMAE_mean_base,log_R2_base,R2_base,NMAE_mean_finetune,log_R2_finetune,R2_finetune,delta_NMAE_mean,delta_log_R2,delta_R2
anion_family,ElectricalConductivity,0.5001808107664112,0.7770403623580933,0.6653307676315308,0.353549549222748,0.8124282360076904,0.2786443829536438,-0.14663126154366318,0.03538787364959717,-0.38668638467788696
anion_family,SurfaceTension,0.138551884724471,0.3110412359237671,0.1935718059539795,0.1506059275763909,0.1316351890563964,0.0205753445625305,0.01205404285191991,-0.1794060468673707,-0.172996461391449
anion_family,Viscosity,0.9999996649000756,0.6670247316360474,-0.0010393857955932,0.9999994135751326,0.6129164695739746,-0.0010391473770141,-2.51324943079112e-07,-0.054108262062072754,2.3841857909982778e-07
cation_family,ElectricalConductivity,0.5788240577401643,0.7008020877838135,0.3397985696792602,0.6484095527320635,0.5819594264030457,0.2058607935905456,0.06958549499189914,-0.11884266138076782,-0.1339377760887146
cation_family,SurfaceTension,0.1807742434888302,-0.2944153547286987,-0.1538646221160888,0.1836471107531448,-0.4962784051895141,-0.3211685419082641,0.002872867264314599,-0.20186305046081543,-0.1673039197921753
cation_family,Viscosity,0.9909217856796118,0.2141756415367126,0.0056486129760742,1.4520905773109851,-0.0067874193191528,-0.2081142663955688,0.46116879163137336,-0.2209630608558654,-0.21376287937164298
il_pair,ElectricalConductivity,0.2556421330099469,0.9233798384666444,0.867344319820404,0.2622741521855138,0.9247941970825196,0.7970539331436157,0.006632019175566883,0.0014143586158752441,-0.07029038667678833
il_pair,SurfaceTension,0.0801034184564667,0.35783451795578,0.4384675025939941,0.0759309261134777,0.3062230944633484,0.4323179125785827,-0.004172492342988998,-0.051611423492431585,-0.006149590015411377
il_pair,Viscosity,0.4712162325574577,0.885780930519104,0.8086198568344116,0.4284839737482411,0.8772693276405334,0.8279821276664734,-0.042732258809216606,-0.008511602878570557,0.019362270832061768
random_point,ElectricalConductivity,0.1951926475186263,0.962045967578888,0.7330785989761353,0.1167749686220608,0.978540539741516,0.889665424823761,-0.07841767889656551,0.016494572162627952,0.15658682584762573
random_point,SurfaceTension,0.026145199528606,0.9707975387573242,0.9692994952201844,0.0197363286961577,0.9766091704368592,0.977305233478546,-0.006408870832448302,0.005811631679535023,0.008005738258361594
random_point,Viscosity,0.7394702822384243,0.9586274027824402,0.3983224630355835,0.9322596666987192,0.9650319814682008,0.1081082224845886,0.19278938446029492,0.006404578685760609,-0.2902142405509949
