split_type,split_label,variant,variant_label,property,log_R2,log_MAE,NMAE_mean,R2,label_count
random_point,Random point,base,Base,Density,0.9939793944358826,0.005877533927559853,0.005721506413205734,0.9948013424873352,2638
random_point,Random point,base,Base,ElectricalConductivity,0.9620459675788879,0.2600772976875305,0.19519264751862633,0.7330785989761353,750
random_point,Random point,base,Base,HeatCapacity,0.984732985496521,0.02791821025311947,0.02889057346655725,0.9861718416213989,1495
random_point,Random point,base,Base,SurfaceTension,0.9707975387573242,0.025977276265621185,0.02614519952860608,0.9692994952201843,780
random_point,Random point,base,Base,ThermalConductivity,0.9403142929077148,0.025707555934786797,0.02691239260502207,0.9184967875480652,126
random_point,Random point,base,Base,Viscosity,0.9586274027824402,0.1663823425769806,0.7394702822384243,0.3983224630355835,1809
random_point,Random point,finetune_weak,Fine-tuned,Density,0.9947201013565063,0.004586202558130026,0.004460580359809916,0.9955249428749084,2638
random_point,Random point,finetune_weak,Fine-tuned,ElectricalConductivity,0.9785405397415161,0.15964765846729279,0.11677496862206085,0.889665424823761,750
random_point,Random point,finetune_weak,Fine-tuned,HeatCapacity,0.9893888235092163,0.017406761646270752,0.016980293868915152,0.993070125579834,1495
random_point,Random point,finetune_weak,Fine-tuned,SurfaceTension,0.9766091704368591,0.020324334502220154,0.01973632869615774,0.9773052334785461,780
random_point,Random point,finetune_weak,Fine-tuned,ThermalConductivity,0.9589723348617554,0.019607488065958023,0.020245480607250683,0.9452828764915466,126
random_point,Random point,finetune_weak,Fine-tuned,Viscosity,0.9650319814682007,0.1106467992067337,0.9322596666987192,0.10810822248458862,1809
il_pair,IL-pair,base,Base,Density,0.953861653804779,0.01834290660917759,0.01793628299042684,0.9564393162727356,2957
il_pair,IL-pair,base,Base,ElectricalConductivity,0.9233798384666443,0.35120919346809387,0.2556421330099469,0.867344319820404,997
il_pair,IL-pair,base,Base,HeatCapacity,0.9312516450881958,0.06395300477743149,0.0695451293174664,0.9045928120613098,1363
il_pair,IL-pair,base,Base,SurfaceTension,0.35783451795578003,0.08410941064357758,0.08010341845646678,0.43846750259399414,1061
il_pair,IL-pair,base,Base,ThermalConductivity,0.5195595026016235,0.07960762828588486,0.08042129120768536,0.44952237606048584,152
il_pair,IL-pair,base,Base,Viscosity,0.885780930519104,0.3240557312965393,0.47121623255745776,0.8086198568344116,1905
il_pair,IL-pair,finetune_weak,Fine-tuned,Density,0.9505496025085449,0.018030455335974693,0.01753048761667929,0.9533486366271973,2957
il_pair,IL-pair,finetune_weak,Fine-tuned,ElectricalConductivity,0.9247941970825195,0.34734898805618286,0.26227415218551386,0.7970539331436157,997
il_pair,IL-pair,finetune_weak,Fine-tuned,HeatCapacity,0.9318377375602722,0.06790986657142639,0.07412675111741074,0.900559663772583,1363
il_pair,IL-pair,finetune_weak,Fine-tuned,SurfaceTension,0.3062230944633484,0.07940749824047089,0.0759309261134777,0.43231791257858276,1061
il_pair,IL-pair,finetune_weak,Fine-tuned,ThermalConductivity,0.5677365064620972,0.07665840536355972,0.07734877827822874,0.5017167329788208,152
il_pair,IL-pair,finetune_weak,Fine-tuned,Viscosity,0.8772693276405334,0.32829543948173523,0.4284839737482411,0.8279821276664734,1905
cation_family,Cation-family,base,Base,Density,0.4910164475440979,0.08886992186307907,0.08755573416629729,0.5286035537719727,4111
cation_family,Cation-family,base,Base,ElectricalConductivity,0.7008020877838135,0.697187066078186,0.5788240577401643,0.33979856967926025,610
cation_family,Cation-family,base,Base,HeatCapacity,0.5155400037765503,0.2741488516330719,0.2720628584960323,0.554428219795227,495
cation_family,Cation-family,base,Base,SurfaceTension,-0.29441535472869873,0.1860165148973465,0.18077424348883026,-0.15386462211608887,278
cation_family,Cation-family,base,Base,ThermalConductivity,-0.010797977447509766,0.1429503858089447,0.14538668445443273,-0.06744706630706787,52
cation_family,Cation-family,base,Base,Viscosity,0.21417564153671265,0.865810215473175,0.9909217856796118,0.005648612976074219,1469
cation_family,Cation-family,finetune_weak,Fine-tuned,Density,0.6324765086174011,0.07691501826047897,0.07562024449330829,0.6627124547958374,4111
cation_family,Cation-family,finetune_weak,Fine-tuned,ElectricalConductivity,0.5819594264030457,0.8332261443138123,0.6484095527320635,0.20586079359054565,610
cation_family,Cation-family,finetune_weak,Fine-tuned,HeatCapacity,0.5103002190589905,0.2808077335357666,0.28236266033885143,0.5380340218544006,495
cation_family,Cation-family,finetune_weak,Fine-tuned,SurfaceTension,-0.49627840518951416,0.19141845405101776,0.18364711075314488,-0.32116854190826416,278
cation_family,Cation-family,finetune_weak,Fine-tuned,ThermalConductivity,0.24704229831695557,0.12787462770938873,0.1310430148540311,0.18425393104553223,52
cation_family,Cation-family,finetune_weak,Fine-tuned,Viscosity,-0.006787419319152832,0.9831709265708923,1.4520905773109851,-0.20811426639556885,1469
anion_family,Anion-family,base,Base,Density,0.5734608769416809,0.039434611797332764,0.03940675919964692,0.5539222955703735,1841
anion_family,Anion-family,base,Base,ElectricalConductivity,0.7770403623580933,1.5793968439102173,0.5001808107664112,0.6653307676315308,620
anion_family,Anion-family,base,Base,HeatCapacity,0.8865934014320374,0.08875492215156555,0.1000818702721867,0.8602621555328369,720
anion_family,Anion-family,base,Base,SurfaceTension,0.3110412359237671,0.1421668976545334,0.13855188472447108,0.1935718059539795,771
