old_canonical_pair_key,il_smiles,chemical_identity_key,identity_status,matched_benchmark_IL_names,identity_error
CCCC[n+]1ccn(C)c1||O=S(=O)(F)[N-]S(=O)(=O)F,CCCC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,IQQRAVYLUAZUGX-UHFFFAOYSA-N||NVIANCROYQGROD-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium bis(fluorosulfonyl)imide,
CCCC[n+]1ccn(C)c1||O=S(=O)([O-])O,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])O,IQQRAVYLUAZUGX-UHFFFAOYSA-N||QAOWNCQODCNURD-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium hydrogensulfate,
CCCC[n+]1ccn(C)c1||FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,IQQRAVYLUAZUGX-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,pseudo_unseen_known_identity,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,
CCCC[n+]1ccn(C)c1||O=C[O-],CCCC[n+]1ccn(C)c1.O=C[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||BDAGIHXWWSANSR-UHFFFAOYSA-M,pseudo_unseen_known_identity,3-butyl-1-methyl-1H-imidazolium formate,
CCCC[n+]1ccn(C)c1||CCOS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.C(C)OS(=O)(=O)[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||KIWBPDUYBMNFTB-UHFFFAOYSA-M,pseudo_unseen_known_identity,1-butyl-3-methyl-1H-imidazolium ethylsulfate,
CCCC[n+]1ccn(C)c1||O=[N+]([O-])c1cn[n-]c1,CCCC[n+]1ccn(C)c1.O=[N+]([O-])c1cn[n-]c1,IQQRAVYLUAZUGX-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,genuinely_unseen_identity,,
CCCC[n+]1ccn(C)c1||CCCC(=O)[O-],CCCC[n+]1ccn(C)c1.CCCC(=O)[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||FERIUCNNQQJTOY-UHFFFAOYSA-M,pseudo_unseen_known_identity,3-butyl-1-methyl-1H-imidazolium butanoate,
CCCC[n+]1ccn(C)c1||C[C@H](N)C(=O)[O-],CCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||QNAYBMKLOCPYGJ-REOHCLBHSA-M,pseudo_unseen_known_identity,3-butyl-1-methyl-1H-imidazolium L-alaninate,
CCCC[n+]1ccn(C)c1||CCC(=O)[O-],CCCC[n+]1ccn(C)c1.CCC(=O)[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||XBDQKXXYIPTUBI-UHFFFAOYSA-M,pseudo_unseen_known_identity,3-butyl-1-methyl-1H-imidazolium propanoate,
CCCC[n+]1ccn(C)c1||CCCCCC(=O)[O-],CCCC[n+]1ccn(C)c1.CCCCCC(=O)[O-],IQQRAVYLUAZUGX-UHFFFAOYSA-N||FUZZWVXGSFPDMH-UHFFFAOYSA-M,genuinely_unseen_identity,,
