qualification_role,candidate_id,eligible,criterion,criterion_value,selected,deterministic_tie_breaker
balanced lead,UPR-0581,True,balanced_distance,0.6001584033475726,False,candidate_id ascending
balanced lead,UPR-0209,True,balanced_distance,0.6198777641455754,False,candidate_id ascending
balanced lead,UPR-0024,False,balanced_distance,0.5797818241492805,False,candidate_id ascending
balanced lead,UPR-0393,True,balanced_distance,0.5989262876368128,False,candidate_id ascending
balanced lead,UPR-0343,True,balanced_distance,0.5703449789018937,True,candidate_id ascending
balanced lead,UPR-0550,False,balanced_distance,0.5977316444419367,False,candidate_id ascending
balanced lead,UPR-0419,True,balanced_distance,0.6133797534496923,False,candidate_id ascending
balanced lead,UPR-0558,True,balanced_distance,0.7665722560949191,False,candidate_id ascending
transport-focused lead,UPR-0581,True,transport_distance,0.5951579517677815,False,candidate_id ascending
transport-focused lead,UPR-0209,True,transport_distance,0.7575894649862707,False,candidate_id ascending
transport-focused lead,UPR-0024,True,transport_distance,0.3486524461817884,True,candidate_id ascending
transport-focused lead,UPR-0393,True,transport_distance,0.4800902523434732,False,candidate_id ascending
transport-focused lead,UPR-0343,True,transport_distance,0.7071067811865476,False,candidate_id ascending
transport-focused lead,UPR-0550,True,transport_distance,0.4592548362098644,False,candidate_id ascending
transport-focused lead,UPR-0419,True,transport_distance,0.6760929929362076,False,candidate_id ascending
transport-focused lead,UPR-0558,True,transport_distance,0.8795140603378291,False,candidate_id ascending
thermal-management lead,UPR-0581,True,thermal_management_distance,0.6051175345872852,False,candidate_id ascending
thermal-management lead,UPR-0209,True,thermal_management_distance,0.4410839914415979,False,candidate_id ascending
thermal-management lead,UPR-0024,True,thermal_management_distance,0.7421154889902175,False,candidate_id ascending
thermal-management lead,UPR-0393,True,thermal_management_distance,0.6978099638509102,False,candidate_id ascending
thermal-management lead,UPR-0343,True,thermal_management_distance,0.3880551377281367,True,candidate_id ascending
thermal-management lead,UPR-0550,True,thermal_management_distance,0.7096838965006704,False,candidate_id ascending
thermal-management lead,UPR-0419,True,thermal_management_distance,0.543477422517782,False,candidate_id ascending
thermal-management lead,UPR-0558,True,thermal_management_distance,0.6338146931848251,False,candidate_id ascending
cross-protocol robust lead,UPR-0581,False,cross_protocol_rank_change,,False,candidate_id ascending
cross-protocol robust lead,UPR-0209,False,cross_protocol_rank_change,,False,candidate_id ascending
cross-protocol robust lead,UPR-0024,False,cross_protocol_rank_change,,False,candidate_id ascending
cross-protocol robust lead,UPR-0393,False,cross_protocol_rank_change,,False,candidate_id ascending
cross-protocol robust lead,UPR-0343,False,cross_protocol_rank_change,,False,candidate_id ascending
cross-protocol robust lead,UPR-0550,False,cross_protocol_rank_change,,False,candidate_id ascending
cross-protocol robust lead,UPR-0419,False,cross_protocol_rank_change,,False,candidate_id ascending
cross-protocol robust lead,UPR-0558,True,cross_protocol_rank_change,6.0,True,candidate_id ascending
