bootstrap_iteration,hard_feasible_count,pareto_rank_1_count,formal_shortlist_count,top8_jaccard_to_nominal,formal_shortlist_ids,conductivity_min,viscosity_max,volumetric_heat_capacity_min,thermal_diffusivity_min
1,59,17,8,0.14285714285714285,UPR-0020;UPR-0024;UPR-0066;UPR-0155;UPR-0209;UPR-0280;UPR-0322;UPR-0408,0.070628261193633,0.21313958987593648,1873535.3857681993,6.180383524770246e-08
2,39,11,8,0.3333333333333333,UPR-0024;UPR-0064;UPR-0155;UPR-0286;UPR-0322;UPR-0343;UPR-0419;UPR-0581,0.1028345320373773,0.10567549616098403,1882200.3537641324,5.8998362854057676e-08
3,49,17,8,0.14285714285714285,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0280;UPR-0286;UPR-0322;UPR-0408,0.13625182583928108,0.1489925384521484,1903967.7811895865,5.8496486970616496e-08
4,43,13,8,0.23076923076923078,UPR-0024;UPR-0064;UPR-0155;UPR-0209;UPR-0280;UPR-0286;UPR-0322;UPR-0419,0.1245994940400123,0.11887500993907446,1902004.1205995413,5.8998362854057676e-08
5,39,14,8,0.23076923076923078,UPR-0024;UPR-0066;UPR-0155;UPR-0209;UPR-0280;UPR-0286;UPR-0322;UPR-0581,0.08628049492835993,0.1086828112602233,1912710.8134821288,6.009393423466764e-08
6,40,14,8,0.3333333333333333,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0322;UPR-0408;UPR-0419;UPR-0581,0.1245994940400123,0.1381369829177856,1912710.8134821288,6.153900446620928e-08
7,25,14,8,0.14285714285714285,UPR-0079;UPR-0158;UPR-0343;UPR-0359;UPR-0430;UPR-0556;UPR-0558;UPR-0598,0.060121081769466324,0.1222724094986915,1884930.795336305,5.8496486970616496e-08
8,31,8,8,0.23076923076923078,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0286;UPR-0322;UPR-0408;UPR-0581,0.20254363119602198,0.0998274758458137,1913728.5286252135,5.8496486970616496e-08
9,22,11,8,0.45454545454545453,UPR-0024;UPR-0290;UPR-0343;UPR-0359;UPR-0419;UPR-0430;UPR-0558;UPR-0581,0.12721429206430906,0.1076248362660408,1886259.0710661025,6.167827981670121e-08
10,20,12,8,0.45454545454545453,UPR-0024;UPR-0290;UPR-0359;UPR-0393;UPR-0430;UPR-0550;UPR-0558;UPR-0581,0.1836130768060684,0.08667859248816961,1898435.2229720124,5.8496486970616496e-08
11,34,13,8,0.23076923076923078,UPR-0024;UPR-0064;UPR-0155;UPR-0280;UPR-0286;UPR-0322;UPR-0343;UPR-0419,0.12721429206430906,0.0942848920822143,1913728.5286252135,6.009393423466764e-08
12,24,10,8,0.3333333333333333,UPR-0289;UPR-0290;UPR-0343;UPR-0359;UPR-0419;UPR-0558;UPR-0581;UPR-0598,0.0920931473374366,0.11861051619052883,1893122.1200528224,6.262898311061963e-08
13,16,8,8,0.14285714285714285,UPR-0162;UPR-0343;UPR-0359;UPR-0430;UPR-0556;UPR-0558;UPR-0598;UPR-0604,0.12721429206430906,0.0998274758458137,1884930.795336305,6.161209241986031e-08
14,20,12,8,0.23076923076923078,UPR-0169;UPR-0289;UPR-0290;UPR-0343;UPR-0359;UPR-0419;UPR-0558;UPR-0598,0.13625182583928108,0.09844182990491385,1894450.39578262,6.265973908359997e-08
15,26,13,8,0.7777777777777778,UPR-0024;UPR-0290;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.12840743176639074,0.13077344000339503,1882200.3537641324,6.275170563891283e-08
16,25,14,8,0.7777777777777778,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0408;UPR-0419;UPR-0550;UPR-0581,0.12721429206430906,0.0942848920822143,1898435.2229720124,6.286129352407167e-08
17,16,7,7,0.07142857142857142,UPR-0162;UPR-0169;UPR-0359;UPR-0430;UPR-0558;UPR-0598;UPR-0604,0.15436073020100588,0.11861051619052883,1898019.293410149,6.161209241986031e-08
18,20,9,8,0.6,UPR-0024;UPR-0093;UPR-0209;UPR-0393;UPR-0550;UPR-0558;UPR-0581;UPR-0598,0.1871971040964126,0.0942848920822143,1898435.2229720124,6.27209496659325e-08
19,26,12,8,1.0,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.12721429206430906,0.1064689774066209,1874571.122046048,6.262898311061963e-08
20,31,12,8,1.0,UPR-0024;UPR-0209;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.0735074952244758,0.1462786495685577,1883414.4225764805,6.284874946327678e-08
21,31,15,8,0.7777777777777778,UPR-0024;UPR-0290;UPR-0343;UPR-0393;UPR-0419;UPR-0550;UPR-0558;UPR-0581,0.07815390825271601,0.11887500993907446,1886259.0710661025,5.8998362854057676e-08
22,45,13,8,0.23076923076923078,UPR-0024;UPR-0064;UPR-0155;UPR-0209;UPR-0280;UPR-0286;UPR-0322;UPR-0419,0.12721429206430906,0.11887500993907446,1880683.9810043082,5.8633172393854354e-08
23,22,11,8,0.45454545454545453,UPR-0024;UPR-0290;UPR-0343;UPR-0359;UPR-0419;UPR-0430;UPR-0558;UPR-0581,0.12721429206430906,0.10841831751167769,1880683.9810043082,6.284397355785382e-08
24,46,14,8,0.3333333333333333,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0322;UPR-0408;UPR-0419;UPR-0581,0.0696685165166854,0.1462786495685577,1871666.2519776486,6.153900446620928e-08
25,44,15,8,0.23076923076923078,UPR-0020;UPR-0024;UPR-0155;UPR-0209;UPR-0280;UPR-0322;UPR-0408;UPR-0581,0.12721429206430906,0.13077344000339503,1902004.1205995413,6.128334736241973e-08
