candidate_id,candidate_type,temperature_point_count,low_temperature_K,reference_temperature_K,high_temperature_K,electrolyte_resistance_ohm_at_low_temperature,electrolyte_resistance_ohm_at_reference_temperature,electrolyte_resistance_ohm_at_high_temperature,low_temperature_resistance_ratio_to_reference,high_temperature_resistance_ratio_to_reference,high_to_low_temperature_resistance_ratio,low_temperature_resistance_retention_pct,high_temperature_resistance_retention_pct,low_temperature_conductivity_retention_pct,high_temperature_conductivity_retention_pct,electrolyte_resistance_ohm_worst,electrolyte_resistance_worst_temperature_K,joule_heating_power_W_worst,joule_heating_worst_temperature_K,steady_state_temperature_rise_K_worst,steady_state_temperature_rise_worst_temperature_K,transient_temperature_rise_K_worst,transient_temperature_rise_worst_temperature_K,reference_cell_exceedance_index_worst,reference_cell_exceedance_band_worst,reference_cell_exceedance_index_worst_temperature_K,reference_cell_exceedance_component_worst,reference_cell_exceedance_index_at_band_worst,reference_cell_exceedance_band_worst_temperature_K,reference_cell_exceedance_band_component_worst,scenario_interpretation
REF-0001,observed_reference,12,298.15,298.15,353.15,0.027143215383664578,0.027143215383664578,0.005382221682698809,1.0,0.19828976068686233,0.19828976068686233,100.0,19.82897606868623,100.0,504.31247510515294,0.027143215383664578,298.15,0.10857286153465831,298.15,0.5514375196547715,298.15,0.5502764209988568,298.15,0.40112814950135567,within_reference_envelope,348.15,none,0.40112814950135567,348.15,none,conditional_liquid_phase_not_verified
REF-0002,observed_reference,12,298.15,298.15,353.15,0.01257994219014746,0.01257994219014746,0.003230552122497601,1.0,0.2568018257689412,0.2568018257689412,99.99999999999999,25.680182576894122,99.99999999999999,389.40533113645193,0.01257994219014746,298.15,0.05031976876058984,298.15,0.2556117974711477,298.15,0.25503715514552716,298.15,0.2373017614437189,within_reference_envelope,353.15,none,0.2373017614437189,353.15,none,conditional_liquid_phase_not_verified
REF-0003,observed_reference,12,298.15,298.15,353.15,0.5458417113578253,0.5458417113578253,0.10674334630228888,1.0,0.19555732748374283,0.19555732748374283,100.0,19.555732748374282,100.0,511.3590029415454,0.5458417113578253,298.15,2.1833668454313013,298.15,11.06801087950218,298.15,11.048188318993592,298.15,9.337843084767636,beyond_reference_tail,333.15,electrical;thermal,9.337843084767636,333.15,electrical;thermal,conditional_liquid_phase_not_verified
REF-0004,observed_reference,12,298.15,298.15,353.15,0.050518015273094366,0.050518015273094366,0.008135101952942408,1.0,0.16103368093471243,0.16103368093471243,100.0,16.103368093471243,100.0,620.9881027345006,0.050518015273094366,298.15,0.20207206109237746,298.15,1.0262883181288753,298.15,1.0240860975069623,298.15,0.6426044202891144,within_reference_envelope,303.15,none,0.6426044202891144,303.15,none,conditional_liquid_phase_not_verified
REF-0005,observed_reference,12,298.15,298.15,353.15,0.10858571228279564,0.10858571228279564,0.016452338257367072,1.0,0.1515147611181051,0.1515147611181051,100.0,15.15147611181051,100.0,660.0017005739159,0.10858571228279564,298.15,0.43434284913118254,298.15,2.2054548423662648,298.15,2.2010864422682137,298.15,1.3805211839049616,elevated_reference_tail,298.15,electrical;thermal,1.3805211839049616,298.15,electrical;thermal,conditional_liquid_phase_not_verified
REF-0006,observed_reference,12,298.15,298.15,353.15,0.019590051599977627,0.019590051599977627,0.0045537269347213985,1.0,0.23245099235606909,0.23245099235606909,100.0,23.245099235606908,100.0,430.19820645385636,0.019590051599977627,298.15,0.07836020639991051,298.15,0.39798748497269054,298.15,0.39730810198891364,298.15,0.33692105810967593,within_reference_envelope,348.15,none,0.33692105810967593,348.15,none,conditional_liquid_phase_not_verified
REF-0007,observed_reference,12,298.15,298.15,353.15,0.04016316659880926,0.04016316659880926,0.0069756392542028745,1.0,0.1736825017778774,0.1736825017778774,100.0,17.368250177787736,100.0,575.7632402594594,0.04016316659880926,298.15,0.16065266639523704,298.15,0.8160153048376061,298.15,0.8141522445968778,298.15,0.530067751813174,within_reference_envelope,333.15,none,0.530067751813174,333.15,none,conditional_liquid_phase_not_verified
REF-0008,observed_reference,12,298.15,298.15,353.15,0.20216835025152508,0.20216835025152508,0.028977769947760544,1.0,0.14333484895983092,0.14333484895983092,100.00000000000001,14.333484895983092,100.00000000000001,697.6670413768297,0.20216835025152508,298.15,0.8086734010061003,298.15,4.105164425085786,298.15,4.09771148419987,298.15,2.570084209704668,elevated_reference_tail,298.15,electrical;thermal,2.570084209704668,298.15,electrical;thermal,conditional_liquid_phase_not_verified
REF-0009,observed_reference,12,298.15,298.15,353.15,0.03402108562305722,0.03402108562305722,0.006330076588526169,1.0,0.186063333153486,0.186063333153486,100.0,18.6063333153486,100.0,537.4514059549214,0.03402108562305722,298.15,0.1360843424922289,298.15,0.6910898015055223,298.15,0.689553204518648,298.15,0.4795824580202527,within_reference_envelope,338.15,none,0.4795824580202527,338.15,none,conditional_liquid_phase_not_verified
REF-0010,observed_reference,12,298.15,298.15,353.15,0.02895057292993213,0.02895057292993213,0.005339639269474695,1.0,0.1844398479573445,0.1844398479573445,100.0,18.44398479573445,100.0,542.1821862655571,0.02895057292993213,298.15,0.11580229171972851,298.15,0.5881776803971364,298.15,0.5857280635718793,298.15,0.40123228751929174,within_reference_envelope,333.15,none,0.40123228751929174,333.15,none,conditional_liquid_phase_not_verified
REF-0011,observed_reference,12,298.15,298.15,353.15,0.03948058182572925,0.03948058182572925,0.006872317692379407,1.0,0.17406829825138898,0.17406829825138898,100.0,17.406829825138896,100.0,574.4871467381168,0.03948058182572925,298.15,0.157922327302917,298.15,0.8023831849545574,298.15,0.8004999496887681,298.15,0.5208377588923305,within_reference_envelope,338.15,none,0.5208377588923305,338.15,none,conditional_liquid_phase_not_verified
REF-0012,observed_reference,12,298.15,298.15,353.15,0.0715147748551884,0.0715147748551884,0.01155694984491623,1.0,0.16160226845876413,0.16160226845876413,100.0,16.160226845876412,100.0,618.8031947430051,0.0715147748551884,298.15,0.2860590994207536,298.15,1.4530333558583006,298.15,1.4498492261217555,298.15,0.911811672694105,within_reference_envelope,303.15,none,0.911811672694105,303.15,none,conditional_liquid_phase_not_verified
REF-0013,observed_reference,12,298.15,298.15,353.15,0.02174142601935839,0.02174142601935839,0.007294319321423561,1.0,0.3355032606844076,0.3355032606844076,100.0,33.55032606844076,100.0,298.0596963379899,0.02174142601935839,298.15,0.08696570407743356,298.15,0.44155004675998094,298.15,0.44043761713301866,298.15,0.535807737461462,within_reference_envelope,353.15,none,0.535807737461462,353.15,none,conditional_liquid_phase_not_verified
REF-0014,observed_reference,12,298.15,298.15,353.15,0.013759978767732956,0.013759978767732956,0.0034398567338721447,1.0,0.24998997396264755,0.24998997396264755,100.0,24.998997396264755,100.0,400.0160423031269,0.013759978767732956,298.15,0.055039915070931825,298.15,0.27979313531423206,298.15,0.27857815472045927,298.15,0.25269894900864404,within_reference_envelope,348.15,none,0.25269894900864404,348.15,none,conditional_liquid_phase_not_verified
REF-0015,observed_reference,12,298.15,298.15,353.15,0.023906922516035472,0.023906922516035472,0.005166403982153916,1.0,0.21610493691476063,0.21610493691476063,100.00000000000001,21.610493691476066,100.00000000000001,462.7381559517241,0.023906922516035472,298.15,0.09562769006414189,298.15,0.4864717368815345,298.15,0.48439179976276486,298.15,0.3818826456688108,within_reference_envelope,348.15,none,0.3818826456688108,348.15,none,conditional_liquid_phase_not_verified
REF-0016,observed_reference,12,298.15,298.15,353.15,0.14353685854075893,0.14353685854075893,0.01560348154884393,1.0,0.10870714120034293,0.10870714120034293,100.0,10.870714120034293,100.0,919.9027671577159,0.14353685854075893,298.15,0.5741474341630357,298.15,2.914508852891183,298.15,2.909856086626391,298.15,1.825061429919533,elevated_reference_tail,298.15,electrical;thermal,1.825061429919533,298.15,electrical;thermal,conditional_liquid_phase_not_verified
REF-0017,observed_reference,12,298.15,298.15,353.15,0.05446235188663589,0.05446235188663589,0.009364474242082912,1.0,0.1719439928260019,0.1719439928260019,99.99999999999999,17.19439928260019,99.99999999999999,581.5847262613858,0.05446235188663589,298.15,0.21784940754654356,298.15,1.106397913767805,298.15,1.1028657949111638,298.15,0.7027439607561202,within_reference_envelope,343.15,none,0.7027439607561202,343.15,none,conditional_liquid_phase_not_verified
REF-0018,observed_reference,12,298.15,298.15,353.15,0.02952056748720072,0.02952056748720072,0.0059631799615279075,1.0,0.20200085801580114,0.20200085801580114,100.0,20.200085801580116,100.0,495.04740218567633,0.02952056748720072,298.15,0.11808226994880287,298.15,0.5997147854864849,298.15,0.5984417942242387,298.15,0.4465502145345311,within_reference_envelope,343.15,none,0.4465502145345311,343.15,none,conditional_liquid_phase_not_verified
REF-0019,observed_reference,12,298.15,298.15,353.15,0.03209876581002183,0.03209876581002183,0.006779428044593571,1.0,0.2112052558256588,0.2112052558256588,100.0,21.120525582565882,100.0,473.47306585280177,0.03209876581002183,298.15,0.12839506324008731,298.15,0.6507197829046838,298.15,0.6423719096290076,298.15,0.5055637295509525,within_reference_envelope,348.15,none,0.5055637295509525,348.15,none,conditional_liquid_phase_not_verified
REF-0020,observed_reference,12,298.15,298.15,353.15,0.08025714772797332,0.08025714772797332,0.01313890685107209,1.0,0.1637101145882434,0.1637101145882434,100.0,16.371011458824338,100.0,610.8358072530564,0.08025714772797332,298.15,0.3210285909118933,298.15,1.630341446626076,298.15,1.6269552939055751,298.15,1.0323066871585809,elevated_reference_tail,328.15,electrical;thermal,1.0323066871585809,328.15,electrical;thermal,conditional_liquid_phase_not_verified
REF-0021,observed_reference,12,298.15,298.15,353.15,0.39158211978117025,0.39158211978117025,0.023500262846012296,1.0,0.06001362590085845,0.06001362590085845,100.0,6.0013625900858445,100.0,1666.2882553571817,0.39158211978117025,298.15,1.566328479124681,298.15,7.952490205660004,298.15,7.943634098294464,298.15,4.9822464666969175,elevated_reference_tail,298.15,electrical;thermal,4.9822464666969175,298.15,electrical;thermal,conditional_liquid_phase_not_verified
REF-0022,observed_reference,12,298.15,298.15,353.15,0.040556396524624824,0.040556396524624824,0.010740088655643338,1.0,0.26481861249981187,0.26481861249981187,100.0,26.481861249981186,100.0,377.61696225211904,0.040556396524624824,298.15,0.1622255860984993,298.15,0.8240465005168836,298.15,0.8222667042030949,298.15,0.799546550626696,within_reference_envelope,348.15,none,0.799546550626696,348.15,none,conditional_liquid_phase_not_verified
REF-0023,observed_reference,12,298.15,298.15,353.15,0.03093268011158631,0.03093268011158631,0.006076926370275465,1.0,0.19645650969633435,0.19645650969633435,100.0,19.645650969633436,100.0,509.0185107867967,0.03093268011158631,298.15,0.12373072044634524,298.15,0.6280352722219246,298.15,0.6268590382429806,298.15,0.4522702208795818,within_reference_envelope,348.15,none,0.4522702208795818,348.15,none,conditional_liquid_phase_not_verified
REF-0024,observed_reference,12,298.15,298.15,353.15,0.07404188716778642,0.07404188716778642,0.006726619155009267,1.0,0.09084883452208702,0.09084883452208702,100.0,9.084883452208702,100.0,1100.7295858670388,0.07404188716778642,298.15,0.2961675486711457,298.15,1.5031639548738114,298.15,1.4966862136221946,298.15,0.9407719436158253,within_reference_envelope,298.15,none,0.9407719436158253,298.15,none,conditional_liquid_phase_not_verified
REF-0025,observed_reference,12,298.15,298.15,353.15,0.03430395278600248,0.03430395278600248,0.01377194827258141,1.0,0.40146826106293415,0.40146826106293415,100.0,40.14682610629341,100.0,249.0856929393081,0.03430395278600248,298.15,0.1372158111440099,298.15,0.6966199796053538,298.15,0.6942759824518185,298.15,1.0117191952200573,elevated_reference_tail,353.15,electrical;thermal,1.0117191952200573,353.15,electrical;thermal,conditional_liquid_phase_not_verified
REF-0026,observed_reference,12,298.15,298.15,353.15,0.13604054891902095,0.13604054891902095,0.020308663009451628,1.0,0.1492838949182754,0.1492838949182754,100.0,14.928389491827538,100.0,669.8646230709911,0.13604054891902095,298.15,0.5441621956760838,298.15,2.762918364912676,298.15,2.7577686638876386,298.15,1.729672214455558,elevated_reference_tail,298.15,electrical;thermal,1.729672214455558,298.15,electrical;thermal,conditional_liquid_phase_not_verified
REF-0027,observed_reference,12,298.15,298.15,353.15,0.03730590234838265,0.03730590234838265,0.006783773432566998,1.0,0.1818418267762688,0.1818418267762688,100.0,18.18418267762688,100.0,549.9284833023381,0.03730590234838265,298.15,0.1492236093935306,298.15,0.7560627060136761,298.15,0.7496485488505821,298.15,0.5055600713248612,within_reference_envelope,348.15,none,0.5055600713248612,348.15,none,conditional_liquid_phase_not_verified
REF-0028,observed_reference,12,298.15,298.15,353.15,0.04622632186890583,0.04622632186890583,0.006705414245542497,1.0,0.14505619254239,0.14505619254239,100.0,14.505619254238999,100.0,689.3880105861517,0.04622632186890583,298.15,0.18490528747562332,298.15,0.9384318355323639,298.15,0.9355667957392189,298.15,0.5873489768335062,within_reference_envelope,298.15,none,0.5873489768335062,298.15,none,conditional_liquid_phase_not_verified
REF-0029,observed_reference,12,298.15,298.15,353.15,0.03918979522737182,0.03918979522737182,0.006548035704347172,1.0,0.16708522375166038,0.16708522375166038,100.0,16.708522375166037,100.0,598.496969119367,0.03918979522737182,298.15,0.1567591809094873,298.15,0.7963366494850085,298.15,0.7947822187169633,298.15,0.5007421766829155,within_reference_envelope,333.15,none,0.5007421766829155,333.15,none,conditional_liquid_phase_not_verified
