candidate_id,cation_smiles,anion_smiles,canonical_cation_smiles,canonical_anion_smiles,cation_identity_key,anion_identity_key,canonical_il_key,cation_charge,anion_charge,cation_support_count,anion_support_count,charge_balance_pass,standard_inchikey_parse_pass,identity_new_to_benchmark,identity_new_to_primary_training_split,identity_audit_pass,generation_status,warnings
UPR-0001,CCCCCCCC[n+]1ccn(C)c1,CC(=O)[O-],CCCCCCCC[n+]1ccn(C)c1,CC(=O)[O-],WXMVWUBWIHZLMQ-UHFFFAOYSA-N,QTBSBXVTEAMEQO-UHFFFAOYSA-M,WXMVWUBWIHZLMQ-UHFFFAOYSA-N||QTBSBXVTEAMEQO-UHFFFAOYSA-M,1,-1,21,18,True,True,True,True,True,retained,
UPR-0002,C(C)[NH3+],FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CC[NH3+],FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,QUSNBJAOOMFDIB-UHFFFAOYSA-O,OXDZSRZJFHVGGS-UHFFFAOYSA-N,QUSNBJAOOMFDIB-UHFFFAOYSA-O||OXDZSRZJFHVGGS-UHFFFAOYSA-N,1,-1,7,14,True,True,True,True,True,retained,
UPR-0003,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,PYVOHVLEZJMINC-UHFFFAOYSA-N,SLSPYQCCSCAKIB-UHFFFAOYSA-N,PYVOHVLEZJMINC-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,1,-1,22,6,True,True,True,True,True,retained,
UPR-0004,C(C)[NH3+],Cc1ccc(S(=O)(=O)[O-])cc1,CC[NH3+],Cc1ccc(S(=O)(=O)[O-])cc1,QUSNBJAOOMFDIB-UHFFFAOYSA-O,JOXIMZWYDAKGHI-UHFFFAOYSA-M,QUSNBJAOOMFDIB-UHFFFAOYSA-O||JOXIMZWYDAKGHI-UHFFFAOYSA-M,1,-1,7,6,True,True,True,True,True,retained,
UPR-0005,C(C)[NH3+],[Cl-],CC[NH3+],[Cl-],QUSNBJAOOMFDIB-UHFFFAOYSA-O,VEXZGXHMUGYJMC-UHFFFAOYSA-M,QUSNBJAOOMFDIB-UHFFFAOYSA-O||VEXZGXHMUGYJMC-UHFFFAOYSA-M,1,-1,7,28,True,True,True,True,True,retained,
UPR-0006,CCCCCC[n+]1ccn(CCC#N)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCCCC[n+]1ccn(CCC#N)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,IDRFNBZFUVYEJX-UHFFFAOYSA-N,OXDZSRZJFHVGGS-UHFFFAOYSA-N,IDRFNBZFUVYEJX-UHFFFAOYSA-N||OXDZSRZJFHVGGS-UHFFFAOYSA-N,1,-1,6,14,True,True,True,True,True,retained,
UPR-0007,CCCC[P+](CCCC)(CCCC)CCCC,[Br-],CCCC[P+](CCCC)(CCCC)CCCC,[Br-],BJQWBACJIAKDTJ-UHFFFAOYSA-N,CPELXLSAUQHCOX-UHFFFAOYSA-M,BJQWBACJIAKDTJ-UHFFFAOYSA-N||CPELXLSAUQHCOX-UHFFFAOYSA-M,1,-1,9,38,True,True,True,True,True,retained,
UPR-0008,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,N#C[S-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,N#C[S-],PYVOHVLEZJMINC-UHFFFAOYSA-N,ZMZDMBWJUHKJPS-UHFFFAOYSA-M,PYVOHVLEZJMINC-UHFFFAOYSA-N||ZMZDMBWJUHKJPS-UHFFFAOYSA-M,1,-1,22,13,True,True,True,True,True,retained,
UPR-0009,CCCC[P+](CCCC)(CCCC)CCCC,O=[N+]([O-])c1cn[n-]c1,CCCC[P+](CCCC)(CCCC)CCCC,O=[N+]([O-])c1cn[n-]c1,BJQWBACJIAKDTJ-UHFFFAOYSA-N,IDGLPDIIVPZHRB-UHFFFAOYSA-N,BJQWBACJIAKDTJ-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,1,-1,9,9,True,True,True,True,True,retained,
UPR-0010,C[n+]1ccn(CCO)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C[n+]1ccn(CCO)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N,SLSPYQCCSCAKIB-UHFFFAOYSA-N,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||SLSPYQCCSCAKIB-UHFFFAOYSA-N,1,-1,9,6,True,True,True,True,True,retained,
UPR-0011,C[n+]1ccn(CCO)c1,O=[N+]([O-])c1cn[n-]c1,C[n+]1ccn(CCO)c1,O=[N+]([O-])c1cn[n-]c1,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N,IDGLPDIIVPZHRB-UHFFFAOYSA-N,ZGZLRWJZGFRHHQ-UHFFFAOYSA-N||IDGLPDIIVPZHRB-UHFFFAOYSA-N,1,-1,9,9,True,True,True,True,True,retained,
