figure,panel,panel_title,measure,value,unit,property,il_rank,il_smiles,il_name,n_labels
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Density,1.0,C(C)OP(=O)(OCC)[O-].C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium diethylphosphate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ElectricalConductivity,1.0,C(C)OP(=O)(OCC)[O-].C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium diethylphosphate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,HeatCapacity,1.0,C(C)OP(=O)(OCC)[O-].C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium diethylphosphate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,SurfaceTension,1.0,C(C)OP(=O)(OCC)[O-].C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium diethylphosphate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ThermalConductivity,1.0,C(C)OP(=O)(OCC)[O-].C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium diethylphosphate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Viscosity,1.0,C(C)OP(=O)(OCC)[O-].C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium diethylphosphate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Density,2.0,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium ethylsulfate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ElectricalConductivity,2.0,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium ethylsulfate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,HeatCapacity,2.0,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium ethylsulfate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,SurfaceTension,2.0,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium ethylsulfate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ThermalConductivity,2.0,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium ethylsulfate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Viscosity,2.0,C(C)OS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,1-ethyl-3-methylimidazolium ethylsulfate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Density,3.0,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ElectricalConductivity,3.0,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,HeatCapacity,3.0,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,SurfaceTension,3.0,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ThermalConductivity,3.0,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Viscosity,3.0,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,Density,4.0,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,6.0
dataset_statistics,C,Sorted sparse IL-property label-presence matrix,label_presence,1.0,binary,ElectricalConductivity,4.0,CC(O)C(=O)[O-].[NH3+]CCO,2-hydroxyethylammonium lactate,6.0
