figure,panel,panel_title,measure,value,unit,property,bin_index,bin_left,bin_right,bin_center
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,Density,1.0,200.0,208.3783783783784,204.1891891891892
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,Density,2.0,208.3783783783784,216.75675675675677,212.56756756756758
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,Density,3.0,216.75675675675677,225.13513513513513,220.94594594594594
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,Density,4.0,225.13513513513513,233.51351351351352,229.32432432432432
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,Density,5.0,233.51351351351352,241.8918918918919,237.7027027027027
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,0.0,labels,Density,6.0,241.8918918918919,250.27027027027026,246.0810810810811
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,18.0,labels,Density,7.0,250.27027027027026,258.64864864864865,254.45945945945945
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,49.0,labels,Density,8.0,258.64864864864865,267.02702702702703,262.8378378378378
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,201.0,labels,Density,9.0,267.02702702702703,275.4054054054054,271.21621621621625
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1083.0,labels,Density,10.0,275.4054054054054,283.7837837837838,279.5945945945946
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1179.0,labels,Density,11.0,283.7837837837838,292.1621621621622,287.972972972973
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,4253.0,labels,Density,12.0,292.1621621621622,300.5405405405405,296.35135135135135
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,4149.0,labels,Density,13.0,300.5405405405405,308.91891891891896,304.72972972972974
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,3055.0,labels,Density,14.0,308.91891891891896,317.2972972972973,313.1081081081081
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,4046.0,labels,Density,15.0,317.2972972972973,325.6756756756757,321.48648648648646
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,3631.0,labels,Density,16.0,325.6756756756757,334.05405405405406,329.8648648648649
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,2021.0,labels,Density,17.0,334.05405405405406,342.43243243243245,338.2432432432432
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,2650.0,labels,Density,18.0,342.43243243243245,350.81081081081084,346.62162162162167
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,1938.0,labels,Density,19.0,350.81081081081084,359.18918918918916,355.0
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,826.0,labels,Density,20.0,359.18918918918916,367.5675675675676,363.3783783783784
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,501.0,labels,Density,21.0,367.5675675675676,375.94594594594594,371.7567567567568
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,181.0,labels,Density,22.0,375.94594594594594,384.3243243243243,380.1351351351351
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,142.0,labels,Density,23.0,384.3243243243243,392.7027027027027,388.51351351351354
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,198.0,labels,Density,24.0,392.7027027027027,401.0810810810811,396.8918918918919
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,125.0,labels,Density,25.0,401.0810810810811,409.4594594594595,405.2702702702703
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,113.0,labels,Density,26.0,409.4594594594595,417.83783783783787,413.64864864864865
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,21.0,labels,Density,27.0,417.83783783783787,426.21621621621625,422.0270270270271
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,33.0,labels,Density,28.0,426.21621621621625,434.5945945945946,430.4054054054054
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,3.0,labels,Density,29.0,434.5945945945946,442.972972972973,438.7837837837838
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,11.0,labels,Density,30.0,442.972972972973,451.35135135135135,447.1621621621622
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,29.0,labels,Density,31.0,451.35135135135135,459.72972972972974,455.5405405405405
dataset_statistics,E,Temperature coverage of the six target properties,temperature_bin_label_count,10.0,labels,Density,32.0,459.72972972972974,468.1081081081081,463.91891891891896
