feature_type,property,property_short,feature,importance,n_labels,normalized_importance,feature_pretty
functional-group descriptor,Density,Density,Ani: amide,0.0,321,0.0,Ani: amide
functional-group descriptor,Density,Density,Ani: aromatic_atom_fraction,0.006376559077254337,321,0.006434252876688452,Ani: aromatic atom fraction
functional-group descriptor,Density,Density,Ani: bis_sulfonimide,0.004288249637864855,321,0.004327048841562803,Ani: bis sulfonimide
functional-group descriptor,Density,Density,Ani: borofluoride,0.005046184340091509,321,0.005091841181610207,Ani: borofluoride
functional-group descriptor,Density,Density,Ani: branched_aliphatic_carbon_fraction,0.003430504491117513,321,0.0034615429925523005,Ani: branched aliphatic carbon fraction
functional-group descriptor,Density,Density,Ani: carbonyl,0.01308736871478998,321,0.013205780544211393,Ani: carbonyl
functional-group descriptor,Density,Density,Ani: carboxylate,0.005964516709932936,321,0.0060184824344898975,Ani: carboxylate
functional-group descriptor,Density,Density,Ani: charged_atom_fraction,0.02490914282258426,321,0.025134515640850487,Ani: charged atom fraction
functional-group descriptor,Density,Density,Ani: ester,0.0,321,0.0,Ani: ester
functional-group descriptor,Density,Density,Ani: ether,0.0,321,0.0,Ani: ether
functional-group descriptor,Density,Density,Ani: fluorinated_carbon,0.015098404727522226,321,0.01523501199855528,Ani: fluorinated carbon
functional-group descriptor,Density,Density,Ani: halide_anion,0.019658884538389813,321,0.019836754095923132,Ani: halide anion
functional-group descriptor,Density,Density,Ani: hbond_acceptor,0.03586719174669168,321,0.03619171074539115,Ani: H-bond acceptor
functional-group descriptor,Density,Density,Ani: hbond_donor,0.014356530575020779,321,0.014486425520794832,Ani: H-bond donor
functional-group descriptor,Density,Density,Ani: hetero_aromatic_atom,0.00288673507693772,321,0.002912853664177405,Ani: hetero aromatic atom
functional-group descriptor,Density,Density,Ani: hexafluorophosphate,0.003609799475313347,321,0.0036424602010124148,Ani: hexafluorophosphate
functional-group descriptor,Density,Density,Ani: hydroxyl,0.008540996376459843,321,0.008618273560900697,Ani: hydroxyl
functional-group descriptor,Density,Density,Ani: imidazolium_like,0.0,321,0.0,Ani: imidazolium like
functional-group descriptor,Density,Density,Ani: longest_aliphatic_carbon_chain,0.01996050596039893,321,0.02014110452673082,Ani: longest aliphatic carbon chain
functional-group descriptor,Density,Density,Ani: negative_atom_fraction,0.032125872278417754,321,0.03241654058548143,Ani: negative atom fraction
functional-group descriptor,Density,Density,Ani: nitrile,0.012979721927556944,321,0.013097159790913415,Ani: nitrile
functional-group descriptor,Density,Density,Ani: nitro,0.0005618512450581028,321,0.0005669347599524943,Ani: nitro
functional-group descriptor,Density,Density,Ani: phosphate,0.004093976453457294,321,0.004131017913205749,Ani: phosphate
functional-group descriptor,Density,Density,Ani: phosphonium,0.0,321,0.0,Ani: phosphonium
functional-group descriptor,Density,Density,Ani: positive_atom_fraction,0.0006467977747599656,321,0.0006526498684423629,Ani: positive atom fraction
functional-group descriptor,Density,Density,Ani: pyridinium_like,0.0,321,0.0,Ani: pyridinium like
functional-group descriptor,Density,Density,Ani: quaternary_ammonium,0.0,321,0.0,Ani: quaternary ammonium
functional-group descriptor,Density,Density,Ani: sulfate,0.0032671718594162636,321,0.0032967325606801045,Ani: sulfate
functional-group descriptor,Density,Density,Ani: sulfonate,0.004935750916217254,321,0.004980408578753897,Ani: sulfonate
functional-group descriptor,Density,Density,Ani: sulfonium,0.0,321,0.0,Ani: sulfonium
functional-group descriptor,Density,Density,Ani: sulfonyl,0.015384399097099483,321,0.01552359398656401,Ani: sulfonyl
functional-group descriptor,Density,Density,Ani: thioether,0.0,321,0.0,Ani: thioether
functional-group descriptor,Density,Density,Cat: amide,0.0,321,0.0,Cat: amide
functional-group descriptor,Density,Density,Cat: aromatic_atom_fraction,0.24919930453241057,321,0.2514540087577817,Cat: aromatic atom fraction
functional-group descriptor,Density,Density,Cat: bis_sulfonimide,0.0,321,0.0,Cat: bis sulfonimide
functional-group descriptor,Density,Density,Cat: borofluoride,0.0,321,0.0,Cat: borofluoride
functional-group descriptor,Density,Density,Cat: branched_aliphatic_carbon_fraction,0.00011765938310236945,321,0.00011872394108230945,Cat: branched aliphatic carbon fraction
functional-group descriptor,Density,Density,Cat: carbonyl,0.0,321,0.0,Cat: carbonyl
functional-group descriptor,Density,Density,Cat: carboxylate,0.0,321,0.0,Cat: carboxylate
functional-group descriptor,Density,Density,Cat: charged_atom_fraction,0.03559462929788594,321,0.03591668220741974,Cat: charged atom fraction
functional-group descriptor,Density,Density,Cat: ester,0.0,321,0.0,Cat: ester
functional-group descriptor,Density,Density,Cat: ether,0.000811743393603486,321,0.0008190878814338557,Cat: ether
functional-group descriptor,Density,Density,Cat: fluorinated_carbon,0.0014931177981545992,321,0.0015066272219260374,Cat: fluorinated carbon
functional-group descriptor,Density,Density,Cat: halide_anion,0.0,321,0.0,Cat: halide anion
functional-group descriptor,Density,Density,Cat: hbond_acceptor,0.020996896886612024,321,0.021186872505600033,Cat: H-bond acceptor
functional-group descriptor,Density,Density,Cat: hbond_donor,0.007426262019358784,321,0.007493453315840046,Cat: H-bond donor
functional-group descriptor,Density,Density,Cat: hetero_aromatic_atom,0.0263965841255084,321,0.026635415007780817,Cat: hetero aromatic atom
functional-group descriptor,Density,Density,Cat: hexafluorophosphate,0.0,321,0.0,Cat: hexafluorophosphate
functional-group descriptor,Density,Density,Cat: hydroxyl,0.014936581671794999,321,0.01507172480099108,Cat: hydroxyl
functional-group descriptor,Density,Density,Cat: imidazolium_like,0.014866508224346556,321,0.015001017343354106,Cat: imidazolium like
functional-group descriptor,Density,Density,Cat: longest_aliphatic_carbon_chain,0.06019504844121101,321,0.06073968090044473,Cat: longest aliphatic carbon chain
functional-group descriptor,Density,Density,Cat: negative_atom_fraction,0.0013543252261628243,321,0.001366578883193231,Cat: negative atom fraction
functional-group descriptor,Density,Density,Cat: nitrile,0.009402824594781407,321,0.009487899424280058,Cat: nitrile
functional-group descriptor,Density,Density,Cat: nitro,0.0,321,0.0,Cat: nitro
functional-group descriptor,Density,Density,Cat: phosphate,0.0,321,0.0,Cat: phosphate
functional-group descriptor,Density,Density,Cat: phosphonium,0.0037706242304881366,321,0.0038047400656054157,Cat: phosphonium
functional-group descriptor,Density,Density,Cat: positive_atom_fraction,0.0286484565643878,321,0.02890766192688786,Cat: positive atom fraction
functional-group descriptor,Density,Density,Cat: pyridinium_like,0.009599775391883968,321,0.009686632191822907,Cat: pyridinium like
functional-group descriptor,Density,Density,Cat: quaternary_ammonium,0.011510801140358237,321,0.011614948509538382,Cat: quaternary ammonium
functional-group descriptor,Density,Density,Cat: sulfate,0.0,321,0.0,Cat: sulfate
functional-group descriptor,Density,Density,Cat: sulfonate,0.0,321,0.0,Cat: sulfonate
functional-group descriptor,Density,Density,Cat: sulfonium,0.0,321,0.0,Cat: sulfonium
functional-group descriptor,Density,Density,Cat: sulfonyl,0.0,321,0.0,Cat: sulfonyl
functional-group descriptor,Density,Density,Cat: thioether,0.0,321,0.0,Cat: thioether
functional-group descriptor,Density,Density,Pair: alkyl_chain_length_difference,0.044657232727263574,321,0.045061282214931574,Pair: alkyl chain length difference
functional-group descriptor,Density,Density,Pair: alkyl_chain_length_sum,0.1316039101264187,321,0.13279463532845795,Pair: alkyl chain length sum
functional-group descriptor,Density,Density,Pair: ammonium_halide_pair,0.0,321,0.0,Pair: ammonium halide pair
functional-group descriptor,Density,Density,Pair: anion_hbd_cation_hba,0.0004001477576583345,321,0.0004037682125454696,Pair: anion hbd cation hba
functional-group descriptor,Density,Density,Pair: anion_positive_cation_negative,0.0,321,0.0,Pair: anion positive cation negative
functional-group descriptor,Density,Density,Pair: cation_aromatic_anion_aromatic,0.0034707533050548993,321,0.0035021559695078025,Pair: cation aromatic anion aromatic
functional-group descriptor,Density,Density,Pair: cation_ether_anion_hba,0.0004780630282245321,321,0.00048238844450831383,Pair: cation ether anion hba
functional-group descriptor,Density,Density,Pair: cation_hbd_anion_hba,0.0006446100320272449,321,0.0006504423314618504,Pair: cation hbd anion hba
functional-group descriptor,Density,Density,Pair: cation_hydroxyl_anion_hba,0.0020213261060996962,321,0.002039614650366814,Pair: cation hydroxyl anion hba
functional-group descriptor,Density,Density,Pair: cation_positive_anion_negative,0.007433318064440727,321,0.007500573202571508,Pair: cation positive anion negative
