feature_type,property,property_short,feature,importance,n_labels,normalized_importance
atom-node category,Density,Density,H-bond atoms,0.08323555107800017,321,0.049389995743978364
atom-node category,Density,Density,aromatic atoms,0.24358162269971081,321,0.14453553983413006
atom-node category,Density,Density,carbon atoms,0.49375823093723287,321,0.29298438718440617
atom-node category,Density,Density,charged atoms,0.24259443743578,321,0.14394976758474146
atom-node category,Density,Density,halogen/F atoms,0.11585986507458851,321,0.06874848750108521
atom-node category,Density,Density,hetero atoms,0.5062417698055042,321,0.30039182215165866
atom-node category,ElectricalConductivity,EC,H-bond atoms,0.0675259633040106,185,0.038428339958866096
atom-node category,ElectricalConductivity,EC,aromatic atoms,0.2972186409541078,185,0.16914411017396397
atom-node category,ElectricalConductivity,EC,carbon atoms,0.48035246615071553,185,0.27336371028450124
atom-node category,ElectricalConductivity,EC,charged atoms,0.256706280885516,185,0.14608893748071675
atom-node category,ElectricalConductivity,EC,halogen/F atoms,0.13574089210581136,185,0.0772487631857607
atom-node category,ElectricalConductivity,EC,hetero atoms,0.5196475420449231,185,0.2957261389161912
atom-node category,HeatCapacity,HC,H-bond atoms,0.053036184661323205,192,0.029938739254537102
atom-node category,HeatCapacity,HC,aromatic atoms,0.32795458248195547,192,0.18512920555950266
atom-node category,HeatCapacity,HC,carbon atoms,0.4946188924368471,192,0.27921062092978327
atom-node category,HeatCapacity,HC,charged atoms,0.2614620258876433,192,0.1475943917911889
atom-node category,HeatCapacity,HC,halogen/F atoms,0.12903744626479843,192,0.07284118347620142
atom-node category,HeatCapacity,HC,hetero atoms,0.5053811174196502,192,0.2852858589887867
atom-node category,SurfaceTension,ST,H-bond atoms,0.05027797073125839,128,0.027148550823755304
atom-node category,SurfaceTension,ST,aromatic atoms,0.32684868574142456,128,0.17648819209427546
atom-node category,SurfaceTension,ST,carbon atoms,0.48657100461423397,128,0.26273330955902297
atom-node category,SurfaceTension,ST,charged atoms,0.2989270454272628,128,0.16141136898215333
atom-node category,SurfaceTension,ST,halogen/F atoms,0.17590412870049477,128,0.0949827948239917
atom-node category,SurfaceTension,ST,hetero atoms,0.5134289748966694,128,0.27723578371680124
atom-node category,ThermalConductivity,TC,H-bond atoms,0.052355224327222116,123,0.031315656880959164
atom-node category,ThermalConductivity,TC,aromatic atoms,0.22127860796645404,123,0.13235517660786267
atom-node category,ThermalConductivity,TC,carbon atoms,0.48691455789697846,123,0.2912421715576047
atom-node category,ThermalConductivity,TC,charged atoms,0.2704467524479075,123,0.16176451945455234
atom-node category,ThermalConductivity,TC,halogen/F atoms,0.127773989264558,123,0.07642649721280569
atom-node category,ThermalConductivity,TC,hetero atoms,0.5130854463431893,123,0.30689597828621545
atom-node category,Viscosity,Visc.,H-bond atoms,0.06927035301377922,273,0.040790596890651426
atom-node category,Viscosity,Visc.,aromatic atoms,0.2645228425989221,273,0.15576713805219844
atom-node category,Viscosity,Visc.,carbon atoms,0.4842740189243149,273,0.28516999598122456
atom-node category,Viscosity,Visc.,charged atoms,0.2494382701077304,273,0.14688442432279658
atom-node category,Viscosity,Visc.,halogen/F atoms,0.11496267759756292,273,0.06769701662151627
atom-node category,Viscosity,Visc.,hetero atoms,0.515725987734812,273,0.3036908281316126
