display_cation,display_anion,property,abs_log_error
Imidazolium,Other,Density,0.0015263082749346069
Imidazolium,Other,Density,0.002407893884514678
Pyridinium,NTf2,Density,0.003770788809042358
Pyridinium,NTf2,Density,0.0026854075280970946
Imidazolium,Other,Density,0.004417839501234866
Protic ammonium,Carboxylate,Density,0.000416163427359173
Imidazolium,PF6,Density,0.0026774103616515887
Imidazolium,Other,Density,0.0023183370803074865
Pyridinium,NTf2,Density,0.006433117483950923
Quaternary ammonium,NTf2,Density,0.006422532997909514
Imidazolium,PF6,Density,0.007448063109826819
Pyridinium,NTf2,Density,0.0004721255256194823
Pyridinium,NTf2,Density,0.0007976966093350413
Imidazolium,Other,Density,0.005052547068641999
Imidazolium,Hydrogen sulfate,Density,0.002751266598327362
Quaternary ammonium,NTf2,Density,0.00410605044725898
Protic ammonium,NTf2,Density,0.004265768558640026
Imidazolium,Other,Density,0.004659556243579388
Pyridinium,Other,Density,0.0049552789232381045
Quaternary ammonium,NTf2,Density,0.0026340149983141714
Imidazolium,Other,Density,0.0017243753851268195
Imidazolium,Other,Density,0.002692210719666299
Pyridinium,NTf2,Density,0.0007342826358547327
Imidazolium,Hydrogen sulfate,Density,0.005808323533416093
Imidazolium,Carboxylate,Density,0.007175477862918278
Imidazolium,PF6,Density,0.0008030517352839439
Imidazolium,BF4,Density,0.002486664494559143
Imidazolium,Other,Density,0.002354138386468918
Imidazolium,Hydrogen sulfate,Density,0.004051631267875777
Phosphonium,Other,Density,0.0007872564562063644
Imidazolium,BF4,Density,0.007382350706526708
Imidazolium,Carboxylate,Density,0.0004106525626479396
Imidazolium,Carboxylate,Density,0.0016576367741780729
Imidazolium,PF6,Density,0.0012000800960256797
Imidazolium,Carboxylate,Density,0.002578328458354484
Pyridinium,Other,Density,0.00939954951919475
Protic ammonium,Carboxylate,Density,0.0011916029972107722
Imidazolium,Hydrogen sulfate,Density,0.0015635504745956652
Phosphonium,NTf2,Density,0.0006508335893284922
Imidazolium,Other,Density,0.010032209308342033
Quaternary ammonium,NTf2,Density,0.002281711234822126
Imidazolium,Carboxylate,Density,0.006311485633069047
Imidazolium,Hydrogen sulfate,Density,0.0001765961273303418
Imidazolium,Other,Density,0.0035901183153335126
Imidazolium,Hydrogen sulfate,Density,0.0007014386687353991
Imidazolium,BF4,Density,0.005159491124889115
Imidazolium,NTf2,Density,0.002612734224922697
Cholinium,NTf2,Density,0.0011267129031962142
Imidazolium,Other,Density,0.001888284714435251
Imidazolium,BF4,Density,0.0019016650315046846
Imidazolium,PF6,Density,0.003740720357608751
Protic ammonium,Carboxylate,Density,0.0010242271389167001
Pyridinium,NTf2,Density,0.0007391822264564141
Imidazolium,Other,Density,0.0021886229884762187
Imidazolium,Other,Density,0.006705150946197058
Phosphonium,Other,Density,1.6204778920503315e-05
Imidazolium,Other,Density,0.004680218941827796
Protic ammonium,Carboxylate,Density,0.00222206532969782
Imidazolium,Other,Density,0.006354786099933563
Imidazolium,NTf2,Density,0.0028590972345208243
Imidazolium,NTf2,Density,0.00010831224547303009
Phosphonium,Other,Density,0.002648344768170219
Imidazolium,NTf2,Density,0.0011658071995395147
Quaternary ammonium,Other,Density,0.0016459286744909818
Protic ammonium,Carboxylate,Density,0.0007844496721656213
Imidazolium,Other,Density,0.0009540747323271148
Pyridinium,NTf2,Density,0.0008234771316475431
Pyridinium,Other,Density,0.0001639682110115004
Imidazolium,NTf2,Density,0.0010656763242629097
