domain,motif,property,property_short,n_present,n_absent,present_median_abs_log_error,absent_median_abs_log_error,delta_median_abs_log_error
pair,aromatic + sulfonyl,Density,Density,740,1897,0.002614319003249488,0.002563092535946332,5.122646730315594e-05
pair,aromatic + sulfonyl,Viscosity,Visc.,489,1281,0.045070532074540814,0.06067321617867322,-0.015602684104132403
pair,aromatic + sulfonyl,ElectricalConductivity,EC,235,488,0.061176035225009695,0.066486502352057,-0.0053104671270473025
pair,aromatic + sulfonyl,HeatCapacity,HC,560,923,0.007467111170751828,0.004415921467010087,0.0030511897037417413
pair,aromatic + sulfonyl,SurfaceTension,ST,183,597,0.013280640947987976,0.009718519700476325,0.0035621212475116515
pair,aromatic + sulfonyl,ThermalConductivity,TC,35,88,0.01322077542633937,0.005252829107923795,0.007967946318415575
pair,aromatic + fluorinated,Density,Density,955,1682,0.0024633892168832716,0.0026268174431933744,-0.0001634282263101028
pair,aromatic + fluorinated,Viscosity,Visc.,757,1013,0.04501423009422956,0.06466005558811039,-0.01964582549388083
pair,aromatic + fluorinated,ElectricalConductivity,EC,391,332,0.05612542941203702,0.07971959311054722,-0.023594163698510195
pair,aromatic + fluorinated,HeatCapacity,HC,975,508,0.004767392043011576,0.005910667283755888,-0.0011432752407443125
pair,aromatic + fluorinated,SurfaceTension,ST,385,395,0.009774500501791739,0.01106962112126153,-0.0012951206194697917
pair,aromatic + fluorinated,ThermalConductivity,TC,48,75,0.007280327650269425,0.006843636623032223,0.00043669102723720155
pair,imidazolium + NTf2/FSI,Density,Density,510,2127,0.002590885648284136,0.0025650392582345916,2.5846390049544254e-05
pair,imidazolium + NTf2/FSI,Viscosity,Visc.,371,1399,0.04092408772936729,0.06067321617867322,-0.01974912844930593
pair,imidazolium + NTf2/FSI,ElectricalConductivity,EC,180,543,0.061441836435066954,0.0660677806550165,-0.0046259442199495515
pair,imidazolium + NTf2/FSI,HeatCapacity,HC,459,1024,0.006795562807247357,0.0045991860069154455,0.0021963768003319117
pair,imidazolium + NTf2/FSI,SurfaceTension,ST,157,623,0.013794259136834963,0.00956723132734405,0.004227027809490913
pair,imidazolium + NTf2/FSI,ThermalConductivity,TC,16,107,,,
pair,phosphonium + fluorinated,Density,Density,50,2587,0.0018062849216242682,0.0025806022067733636,-0.0007743172851490954
pair,phosphonium + fluorinated,Viscosity,Visc.,32,1738,0.054465195918782516,0.05559152796799993,-0.0011263320492174156
pair,phosphonium + fluorinated,ElectricalConductivity,EC,37,686,0.09585895203504824,0.0628889034499844,0.03297004858506383
pair,phosphonium + fluorinated,HeatCapacity,HC,10,1473,,,
pair,phosphonium + fluorinated,SurfaceTension,ST,18,762,,,
pair,phosphonium + fluorinated,ThermalConductivity,TC,2,121,,,
pair,quaternary N + halide,Density,Density,128,2509,0.00275647078606589,0.0025620106040982193,0.00019446018196767056
pair,quaternary N + halide,Viscosity,Visc.,65,1705,0.12185366182639656,0.054680109224100715,0.06717355260229585
pair,quaternary N + halide,ElectricalConductivity,EC,33,690,0.0707592049719632,0.06324254157147909,0.007516663400484111
pair,quaternary N + halide,HeatCapacity,HC,110,1373,0.004481564172447161,0.005339609978938675,-0.0008580458064915142
pair,quaternary N + halide,SurfaceTension,ST,84,696,0.010783246505908783,0.010278870083181069,0.0005043764227277148
pair,quaternary N + halide,ThermalConductivity,TC,4,119,,,
pair,protic N-H + carboxylate,Density,Density,209,2428,0.0013762083442401263,0.00273935967354344,-0.0013631513293033137
pair,protic N-H + carboxylate,Viscosity,Visc.,30,1740,0.10990431573615012,0.05516700559401544,0.054737310142134676
pair,protic N-H + carboxylate,ElectricalConductivity,EC,7,716,,,
pair,protic N-H + carboxylate,HeatCapacity,HC,18,1465,,,
pair,protic N-H + carboxylate,SurfaceTension,ST,3,777,,,
pair,protic N-H + carboxylate,ThermalConductivity,TC,1,122,,,
pair,oxygenated cation + sulfonyl,Density,Density,224,2413,0.002483860851604902,0.002578328458354484,-9.446760674958199e-05
pair,oxygenated cation + sulfonyl,Viscosity,Visc.,80,1690,0.05111126624741036,0.05582788378850578,-0.004716617541095425
pair,oxygenated cation + sulfonyl,ElectricalConductivity,EC,20,703,0.04369340284559492,0.06495577952932585,-0.021262376683730932
pair,oxygenated cation + sulfonyl,HeatCapacity,HC,67,1416,0.005474645965121816,0.0052488004161586055,0.00022584554896321052
pair,oxygenated cation + sulfonyl,SurfaceTension,ST,35,745,0.013794259136834963,0.010256572255870289,0.0035376868809646744
pair,oxygenated cation + sulfonyl,ThermalConductivity,TC,0,123,,,
pair,long alkyl + nitrile,Density,Density,144,2493,0.00249155803838752,0.0025810320234151973,-8.947398502767712e-05
pair,long alkyl + nitrile,Viscosity,Visc.,109,1661,0.05581629408782707,0.05547920376489657,0.0003370903229305
pair,long alkyl + nitrile,ElectricalConductivity,EC,56,667,0.0831443516648105,0.06286203649397837,0.020282315170832135
pair,long alkyl + nitrile,HeatCapacity,HC,46,1437,0.005007835498981539,0.005278128741928789,-0.00027029324294725043
pair,long alkyl + nitrile,SurfaceTension,ST,57,723,0.01751281295117657,0.009958739699331254,0.007554073251845317
pair,long alkyl + nitrile,ThermalConductivity,TC,14,109,,,
