property,feature,structural_scope,data_type,analysis_weighting,n_records,n_unique_ils,n_cation_families,n_anion_families,partial_correlation,partial_p,model_partial_correlation,model_partial_p,family_consistency,family_comparison_count,bootstrap_ci_low,bootstrap_ci_high,selection_stability,eligibility_status,exclusion_reason,pressure_missing_records,pressure_availability_in_design,data_source_covariate,response_scale,fdr_scope,causal_interpretation,feature_cluster,unique_feature_values,fdr_q,model_fdr_q,effect_direction,selection_rank,main_figure_eligible,statistical_support,confidence_level,abs_effect
Density,anion_fluorine_fraction,Anion,experimental,identity_balanced,2637,685,5,8,0.515253515932767,1.0228268721109827e-47,0.593383715674669,2.1831427951222933e-66,0.8333333333333334,12,0.4222992770202624,0.5937016651310225,0.694,eligible,,0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_013,592,1.6083952563945205e-45,6.865984090659613e-64,positive,2.0,True,True,Level B,0.515253515932767
Density,cation_logp_scaled,Cation,experimental,identity_balanced,2637,685,5,8,-0.5363709026178868,2.7494606771384642e-52,-0.5080098786160595,3.1991084916537723e-46,0.9166666666666666,12,-0.5939406126666208,-0.4753381531936042,0.922,eligible,,0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_045,677,5.764702553066979e-50,1.547876339423248e-44,negative,1.0,True,True,Level C,0.5363709026178868
Density,pair_anion_to_cation_heavy_atom_ratio,Ion pair,experimental,identity_balanced,2637,685,5,8,0.5069727655986423,5.202156139478373e-46,0.5291169757879882,1.1109817449666582e-50,0.9166666666666666,12,0.4143804216160784,0.5984499882746321,0.658,eligible,,0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_065,678,4.674508873902711e-44,6.3527956144002545e-49,positive,,,,Level C,0.5069727655986423
ElectricalConductivity,anion_longest_aliphatic_carbon_chain,Anion,experimental,identity_balanced,725,240,4,8,-0.3046497541241588,1.5108482934028664e-06,-0.3661170526486341,5.0201718390198125e-09,0.7,10,-0.4221781684450255,-0.2238451155175906,0.126,eligible,,0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_016,229,5.461629750289673e-06,1.8466012203178142e-08,negative,,,,Level C,0.3046497541241588
ElectricalConductivity,cation_radius_of_gyration_scaled,Cation,experimental,identity_balanced,725,240,4,8,-0.3674572778922881,4.370289796324199e-09,-0.6231928134266749,3.2210193658430487e-27,0.9,10,-0.5846634541361485,-0.1897557359160575,0.186,eligible,,0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_036,238,1.9089668624221676e-08,5.475732921933182e-26,negative,,,,Level C,0.3674572778922881
ElectricalConductivity,pair_alkyl_chain_length_sum,Ion pair,experimental,identity_balanced,725,240,4,8,-0.3976937487932875,1.6098744263764904e-10,-0.6236467875035272,2.8829250647567016e-27,0.9,10,-0.5859339560600174,-0.2616872616094881,0.648,eligible,,0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_036,238,7.973315072368601e-10,5.177998096653782e-26,negative,2.0,True,True,Level B,0.3976937487932875
HeatCapacity,anion_heavy_atom_count_scaled,Anion,experimental,identity_balanced,1483,209,4,8,0.5827625911527865,2.1046760825065788e-20,0.567125379903368,3.4848988589699044e-19,1.0,11,0.4410391384691728,0.6964536654411317,0.026,eligible,,0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_011,204,2.497813690371016e-19,2.9226685097227598e-18,positive,,,,Level C,0.5827625911527865
HeatCapacity,cation_heavy_atom_count_scaled,Cation,experimental,identity_balanced,1483,209,4,8,0.7965098145507681,4.0622048371622147e-47,0.8211222605393315,2.586415298474408e-52,1.0,11,0.7140255865439687,0.8548450620136203,0.0,eligible,,0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_036,207,4.258544737625055e-45,2.3240788896291465e-50,positive,,,,Level C,0.7965098145507681
HeatCapacity,pair_total_heavy_atom_count_scaled,Ion pair,experimental,identity_balanced,1483,209,4,8,0.8724611805901333,2.6961839790107727e-66,0.8826815850316453,8.238460482209397e-70,1.0,11,0.8282691324448153,0.9086909992616832,1.0,eligible,,0,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_036,208,1.695899722797776e-63,5.1819916433097114e-67,positive,1.0,True,True,Level C,0.8724611805901333
SurfaceTension,anion_fluorinated_carbon,Anion,experimental,identity_balanced,780,252,5,8,-0.2515576064279358,5.376323277239348e-05,-0.324093923290275,1.4252418262985286e-07,0.4545454545454545,11,-0.3666152576302589,-0.1350978642999897,0.0,eligible,,780,False,unavailable_in_source_table,condition-adjusted residual in natural-log property,all experimental feature-property hypotheses,False,cluster_009,228,0.0001530184317368,4.5973185063680746e-07,negative,,,,Level C,0.2515576064279358
