property,substitution_pair_id,fixed_role,fixed_ion_smiles,left_changed_ion_smiles,right_changed_ion_smiles,n_condition_matches,observed_log_delta,observed_abs_log_difference,predicted_log_delta,predicted_abs_log_difference,analysis_unit,substitution_scope,exploratory
Density,anion_fixed||C(C)OS(=O)(=O)[O-]||C(C)N1C=[N+](C=C1)C=>C(C)[N+]1=CC=CC=C1,anion_fixed,C(C)OS(=O)(=O)[O-],C(C)N1C=[N+](C=C1)C,C(C)[N+]1=CC=CC=C1,6,0.0124579784894587,0.0124579784894587,-0.0056758285483153,0.0056758285483153,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||C(C)OS(=O)(=O)[O-]||C(C)N1C=[N+](C=C1)C=>C(CCC)N1C=[N+](C=C1)C,anion_fixed,C(C)OS(=O)(=O)[O-],C(C)N1C=[N+](C=C1)C,C(CCC)N1C=[N+](C=C1)C,4,-0.0472421632890913,0.0472421632890913,-0.0469520680370472,0.0469520680370472,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||C(C)OS(=O)(=O)[O-]||C(C)N1C=[N+](C=C1)C=>CN1C=[N+](C=C1)CCCCCCCC,anion_fixed,C(C)OS(=O)(=O)[O-],C(C)N1C=[N+](C=C1)C,CN1C=[N+](C=C1)CCCCCCCC,1,-0.1052701120054564,0.1052701120054564,-0.1187877923303419,0.1187877923303419,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||C(C)OS(=O)(=O)[O-]||C(C)[N+]1=CC=CC=C1=>CN1C=[N+](C=C1)CCCCCCCC,anion_fixed,C(C)OS(=O)(=O)[O-],C(C)[N+]1=CC=CC=C1,CN1C=[N+](C=C1)CCCCCCCC,1,-0.1158727769895699,0.1158727769895699,-0.1122798902243804,0.1122798902243804,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||C(CCCCCCC)OS(=O)(=O)[O-]||C(C)N1C=[N+](C=C1)C=>C(CCC)N1C=[N+](C=C1)C,anion_fixed,C(CCCCCCC)OS(=O)(=O)[O-],C(C)N1C=[N+](C=C1)C,C(CCC)N1C=[N+](C=C1)C,10,-0.0262899770874081,0.0262899770874081,-0.0094897564078371,0.0094897564078371,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||C(CCCCCCCCCCC)OS(=O)(=O)[O-]||C(#N)CC[N+]1=CN(C=C1)CCCCCC=>C(CCC)N1C=[N+](C=C1)CCC#N,anion_fixed,C(CCCCCCCCCCC)OS(=O)(=O)[O-],C(#N)CC[N+]1=CN(C=C1)CCCCCC,C(CCC)N1C=[N+](C=C1)CCC#N,1,0.0219988873375758,0.0219988873375758,-0.0027102685864202,0.0027102685864202,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||C=CC(=O)NC(C)(C)CS(=O)(=O)[O-]||CCCC[n+]1ccccc1=>CC[n+]1ccn(C)c1,anion_fixed,C=CC(=O)NC(C)(C)CS(=O)(=O)[O-],CCCC[n+]1ccccc1,CC[n+]1ccn(C)c1,1,0.0,0.0,0.0023698990717742,0.0023698990717742,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||C=CC(=O)NC(C)(C)CS(=O)(=O)[O-]||CCCC[n+]1ccccc1=>Cn1cc[n+](C)c1Cl,anion_fixed,C=CC(=O)NC(C)(C)CS(=O)(=O)[O-],CCCC[n+]1ccccc1,Cn1cc[n+](C)c1Cl,1,-0.0170854923209775,0.0170854923209775,-0.0020760758369338,0.0020760758369338,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||C=CC(=O)NC(C)(C)CS(=O)(=O)[O-]||CC[n+]1ccn(C)c1=>Cn1cc[n+](C)c1Cl,anion_fixed,C=CC(=O)NC(C)(C)CS(=O)(=O)[O-],CC[n+]1ccn(C)c1,Cn1cc[n+](C)c1Cl,1,-0.0170854923209775,0.0170854923209775,-0.004445974908708,0.004445974908708,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||CC(=O)[O-]||CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC=>CCCCCCCCCC[n+]1ccn(C)c1,anion_fixed,CC(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCCCCCCCC[n+]1ccn(C)c1,1,0.0986856810693206,0.0986856810693206,0.0627831304373884,0.0627831304373884,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||CC(=O)[O-]||CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC=>CCCCCCn1cc[n+](C)c1,anion_fixed,CC(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCCCCn1cc[n+](C)c1,1,0.1355184891258174,0.1355184891258174,0.1355151780094523,0.1355151780094523,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||CC(=O)[O-]||CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC=>CCCCCn1cc[n+](C)c1,anion_fixed,CC(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCCCn1cc[n+](C)c1,1,0.1488892730358992,0.1488892730358992,0.1598000815841409,0.1598000815841409,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||CC(=O)[O-]||CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC=>CCCC[n+]1ccn(C)c1,anion_fixed,CC(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCC[n+]1ccn(C)c1,2,0.1687009688939613,0.1687009688939613,0.1813389995008827,0.1813389995008827,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||CC(=O)[O-]||CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC=>CCN1C=C[NH+]=C1,anion_fixed,CC(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCN1C=C[NH+]=C1,1,0.1570514963208351,0.1570514963208351,0.1948585208468198,0.1948585208468198,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||CC(=O)[O-]||CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC=>CC[NH+](CC)CC,anion_fixed,CC(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CC[NH+](CC)CC,1,0.1229842099944447,0.1229842099944447,0.1584635533325178,0.1584635533325178,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||CC(=O)[O-]||CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC=>C[NH2+]CCO,anion_fixed,CC(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,C[NH2+]CCO,5,0.2155071057796087,0.2155071057796087,0.2375403040686672,0.2375403040686672,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||CC(=O)[O-]||CCCCCCCCCC[n+]1ccn(C)c1=>CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,anion_fixed,CC(=O)[O-],CCCCCCCCCC[n+]1ccn(C)c1,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,2,-0.0808356467079587,0.0808356467079587,-0.0145619041231723,0.0145619041231723,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||CC(=O)[O-]||CCCCCCCCCC[n+]1ccn(C)c1=>CCCCCCn1cc[n+](C)c1,anion_fixed,CC(=O)[O-],CCCCCCCCCC[n+]1ccn(C)c1,CCCCCCn1cc[n+](C)c1,2,0.0322274438949961,0.0322274438949961,0.0704550616821051,0.0704550616821051,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||CC(=O)[O-]||CCCCCCCCCC[n+]1ccn(C)c1=>CCCCCn1cc[n+](C)c1,anion_fixed,CC(=O)[O-],CCCCCCCCCC[n+]1ccn(C)c1,CCCCCn1cc[n+](C)c1,1,0.0502035919665786,0.0502035919665786,0.0970169511467524,0.0970169511467524,unique unordered ion-substitution pair,Cation substitution,False
Density,anion_fixed||CC(=O)[O-]||CCCCCCCCCC[n+]1ccn(C)c1=>CCCC[n+]1ccn(C)c1,anion_fixed,CC(=O)[O-],CCCCCCCCCC[n+]1ccn(C)c1,CCCC[n+]1ccn(C)c1,3,0.0694443936452575,0.0694443936452575,0.1186600992078501,0.1186600992078501,unique unordered ion-substitution pair,Cation substitution,False
