sample_id,IL_Name,IL_SMILES,Temperature_K,Pressure_kPa,property,y_true,y_pred,absolute_error,split,split_strategy,split_short,panel,panel_title,plot_included
4661,1-ethyl-3-methylimidazolium thiocyanate,CC[n+]1ccn(C)c1.N#C[S-],288.15,100.0,Viscosity,0.034579996,0.03028317,0.004296826,test,Random point,Point,B,Viscosity multi-split parity plot,True
2668,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,303.15,101.325,Viscosity,0.051641427,0.04731756,0.004323866,test,Random point,Point,B,Viscosity multi-split parity plot,True
1356,1-octyl-3-methylimidazolium hexafluorophosphate,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,299.43,101.325,Viscosity,0.64699996,0.6588548,0.011854827,test,Random point,Point,B,Viscosity multi-split parity plot,True
1198,1-nonyl-3-methylimidazolium hexafluorophosphate,CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,318.15,101.325,Viscosity,0.24580002,0.23975836,0.006041661,test,Random point,Point,B,Viscosity multi-split parity plot,True
3409,1-butyl-3-methylimidazolium pentafluoropropanoyl(trifluoromethylsulfonyl)amide,CCCC[n+]1ccn(C)c1.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)C(F)(F)F,283.0,100.0,Viscosity,0.11199999,0.14223514,0.030235156,test,Random point,Point,B,Viscosity multi-split parity plot,True
1762,1-hexyl-4-methylpyridinium bis(trifluoromethanesulfonyl)imide,CCCCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,338.15,100.0,Viscosity,0.016969997,0.017938085,0.00096808746,test,Random point,Point,B,Viscosity multi-split parity plot,True
4365,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,325.65,101.325,Viscosity,0.026759999,0.027405437,0.0006454382,test,Random point,Point,B,Viscosity multi-split parity plot,True
2142,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,298.0,101.325,Viscosity,0.08959998,0.09835346,0.0087534785,test,Random point,Point,B,Viscosity multi-split parity plot,True
3013,1-butyl-3-methylimidazolium hexafluorophosphate,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,328.1,101.325,Viscosity,0.049399998,0.06099586,0.01159586,test,Random point,Point,B,Viscosity multi-split parity plot,True
2722,1-butylpyridinium phenyltrifluoroborate,CCCC[n+]1ccccc1.F[B-](F)(F)c1ccccc1,338.0,101.325,Viscosity,0.0225,0.02308102,0.0005810186,test,Random point,Point,B,Viscosity multi-split parity plot,True
4607,1-ethyl-3-methylimidazolium dicyanamide,CC[n+]1ccn(C)c1.N#C[N-]C#N,345.585,101.325,Viscosity,0.0053400006,0.004993295,0.00034670578,test,Random point,Point,B,Viscosity multi-split parity plot,True
4224,"N-3-hydroxypropyl-N,N-dimethyl-N-ethylammonium bis(trifluoromethanesulfonyl)amide",CC[N+](C)(C)CCCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,323.15,100.0,Viscosity,0.049500003,0.04578317,0.003716834,test,Random point,Point,B,Viscosity multi-split parity plot,True
207,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium dodecylsulfate,C(CCCCCCCCCCC)OS(=O)(=O)[O-].C(#N)CC[N+]1=CN(C=C1)CCCCCC,343.15,101.325,Viscosity,0.275,0.22555658,0.049443424,test,Random point,Point,B,Viscosity multi-split parity plot,True
3414,1-butyl-3-methylimidazolium trifluoroacetate,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,308.15,101.325,Viscosity,0.033899996,0.06076119,0.026861195,test,Random point,Point,B,Viscosity multi-split parity plot,True
1030,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.0,100.0,Viscosity,0.066199996,0.06627175,7.175654e-05,test,Random point,Point,B,Viscosity multi-split parity plot,True
1523,1-methyl-3-octylimidazolium tetrafluoroborate,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,353.15,100.0,Viscosity,0.028100003,0.029634409,0.0015344061,test,Random point,Point,B,Viscosity multi-split parity plot,True
842,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,273.15,101.325,Viscosity,2.0100005,2.1328137,0.122813225,test,Random point,Point,B,Viscosity multi-split parity plot,True
5131,"3,3'-(butane-1,4-diyl)bis(1-methyl-1H-imidazol-3-ium) methanesulfonate",CS(=O)(=O)[O-].CS(=O)(=O)[O-].Cn1cc[n+](CCCC[n+]2ccn(C)c2)c1,363.3,101.325,Viscosity,0.0286,0.029741196,0.0011411961,test,Random point,Point,B,Viscosity multi-split parity plot,True
3801,3-butyl-1-methylimidazolium benzoate,CCCCn1cc[n+](C)c1.O=C([O-])c1ccccc1,313.15,101.325,Viscosity,0.47000003,0.4023786,0.06762144,test,Random point,Point,B,Viscosity multi-split parity plot,True
404,1-ethyl-3-methylimidazolium acetate,CC(=O)[O-].CC[n+]1ccn(C)c1,358.15,101.0,Viscosity,0.011859998,0.0119376555,7.76574e-05,test,Random point,Point,B,Viscosity multi-split parity plot,True
1798,1-hexylpyridinium thiocyanate,CCCCCC[n+]1ccccc1.N#C[S-],303.15,101.0,Viscosity,0.1087,0.09939628,0.009303719,test,Random point,Point,B,Viscosity multi-split parity plot,True
