sample_id,IL_Name,IL_SMILES,Temperature_K,Pressure_kPa,property,y_true,y_pred,absolute_error,split,split_strategy,split_short,panel,panel_title,plot_included
5610,1-butyl-3-methylimidazolium hydrogensulfate,S(=O)(=O)(O)[O-].C(CCC)N1C=[N+](C=C1)C,348.15,,SurfaceTension,0.0317,0.039034225,0.007334225,test,Random point,Point,E,Surface tension multi-split parity plot,True
1821,1-hexyl-3-methylimidazolium DL-threoninate,CCCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],323.15,,SurfaceTension,0.0347,0.034670923,2.907589e-05,test,Random point,Point,E,Surface tension multi-split parity plot,True
573,1-propyl-3-methylimidazolium propionate,CCC(=O)[O-].CCC[n+]1ccn(C)c1,318.15,,SurfaceTension,0.0365,0.03568141,0.00081858784,test,Random point,Point,E,Surface tension multi-split parity plot,True
5134,1-(2-hydroxyethyl)-3-methylimidazolium L-alaninate,C[C@H](N)C(=O)[O-].Cn1cc[n+](CCO)c1,303.15,,SurfaceTension,0.05188,0.052023254,0.00014325604,test,Random point,Point,E,Surface tension multi-split parity plot,True
1818,1-hexyl-3-methylimidazolium DL-threoninate,CCCCCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],293.15,,SurfaceTension,0.036599997,0.03660886,8.862466e-06,test,Random point,Point,E,Surface tension multi-split parity plot,True
1199,1-nonyl-3-methylimidazolium hexafluorophosphate,CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,328.04,,SurfaceTension,0.031249998,0.0317748,0.00052480213,test,Random point,Point,E,Surface tension multi-split parity plot,True
4740,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,287.3,,SurfaceTension,0.03658,0.036991704,0.00041170418,test,Random point,Point,E,Surface tension multi-split parity plot,True
1630,1-methyl-3-octylimidazolium bromide,CCCCCCCCn1cc[n+](C)c1.[Br-],347.49,,SurfaceTension,0.030570002,0.030890843,0.00032084063,test,Random point,Point,E,Surface tension multi-split parity plot,True
2585,1-butyl-4-methylpyridinium thiocyanate,CCCC[n+]1ccc(C)cc1.N#C[S-],302.95,,SurfaceTension,0.047599997,0.0472923,0.0003076978,test,Random point,Point,E,Surface tension multi-split parity plot,True
4512,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,308.18,,SurfaceTension,0.048369996,0.048882533,0.0005125366,test,Random point,Point,E,Surface tension multi-split parity plot,True
5052,1-ethyl-3-methylimidazolium methylsulfate,COS(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C,288.15,,SurfaceTension,0.05328,0.053803824,0.00052382424,test,Random point,Point,E,Surface tension multi-split parity plot,True
2552,1-butyl-4-methylpyridinium tetrafluoroborate,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,310.65,,SurfaceTension,0.04452,0.044443604,7.639825e-05,test,Random point,Point,E,Surface tension multi-split parity plot,True
4458,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,333.48,,SurfaceTension,0.05187,0.050765675,0.001104325,test,Random point,Point,E,Surface tension multi-split parity plot,True
1224,1-methyl-3-nonylimidazolium bromide,CCCCCCCCCn1cc[n+](C)c1.[Br-],352.4,,SurfaceTension,0.027989998,0.028302912,0.0003129132,test,Random point,Point,E,Surface tension multi-split parity plot,True
4053,1-methyl-3-propylimidazolium L-serinate,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],338.15,,SurfaceTension,0.044899996,0.04412489,0.00077510625,test,Random point,Point,E,Surface tension multi-split parity plot,True
