artifact_type,figure_id,panel_mapping,format,relative_path,origin,provenance,bytes,rows,columns,width_px,height_px,sha256
figure,auditable_virtual_screening_validation,all,png,figures/auditable_virtual_screening_validation/auditable_virtual_screening_validation.png,author_supplied_manuscript_png/auditable_virtual_screening_validation.png,exact author-supplied manuscript PNG,794728,,,4581,2471,628d14936365854cbc4cbe61ede9488740c33f3c1423233e53fec78f39c2e7f5
figure,auditable_virtual_screening_validation,all,pdf,figures/auditable_virtual_screening_validation/auditable_virtual_screening_validation.pdf,experiments/result_analysis/figures/auditable_virtual_screening_validation/auditable_virtual_screening_validation.pdf,native Matplotlib export from the matching application workflow,79943,,,,,61d815ad2936d59e534dbd3c501c36ac76610f9bf94ec192b6fafb2bd738731e
figure,auditable_virtual_screening_validation,all,svg,figures/auditable_virtual_screening_validation/auditable_virtual_screening_validation.svg,experiments/computational_application_case/chapter_results/figures/auditable_virtual_screening_validation.svg,native Matplotlib export from the matching application workflow,72671,,,,,acbc2780936e9c086e910902661d3a6b79dae49e1afb4ee94e5c486a8201bcde
figure,auditable_virtual_screening_validation,all,tiff,figures/auditable_virtual_screening_validation/auditable_virtual_screening_validation.tiff,experiments/result_analysis/figures/auditable_virtual_screening_validation/auditable_virtual_screening_validation.png,lossless LZW 600-dpi conversion from exact manuscript PNG,1382792,,,4581,2471,82b9eb3d3ef536b0a81b27ee1969f78c4ceeb922c781318b1dd0d9ddfbd02e31
figure,dataset_statistics,all,png,figures/dataset_statistics/dataset_statistics.png,author_supplied_manuscript_png/dataset_statistics.png,exact author-supplied manuscript PNG,807863,,,3837,3737,7f91468f7b25c96dba8149894316acead83302dc72cceb28988e51ac2cad76c9
figure,dataset_statistics,all,pdf,figures/dataset_statistics/dataset_statistics.pdf,experiments/result_analysis/figures/dataset_statistics/dataset_statistics.pdf,native Matplotlib export from the matching dataset workflow,64040,,,,,7a3b40b8cd48309a3ff32e01a011ff0d0c3528db2c04012bfc2b7394acfc1f6d
figure,dataset_statistics,all,svg,figures/dataset_statistics/dataset_statistics.svg,experiments/result_analysis/figures/dataset_statistics/dataset_statistics.svg,native Matplotlib export from the matching dataset workflow,70403,,,,,dc14399d8d2f3d6e4626d0a2137c53fae927d61a66bdd6dbef69f3b714c9cf57
figure,dataset_statistics,all,tiff,figures/dataset_statistics/dataset_statistics.tiff,experiments/result_analysis/figures/dataset_statistics/dataset_statistics.png,lossless LZW 600-dpi conversion from exact manuscript PNG,1208556,,,3837,3737,512d3c20b2a135f5a8bd4c3bb28012c8cdcb4779d436c75b77f9928815473346
figure,figureS_application_decision_stability,all,png,figures/figureS_application_decision_stability/figureS_application_decision_stability.png,author_supplied_manuscript_png/figureS_application_decision_stability.png,exact author-supplied manuscript PNG,311876,,,4359,1479,8ffaec5bf44e988d5f18bdebd8469958730cc68cad4486f026cb42482d9c8eb6
figure,figureS_application_decision_stability,all,pdf,figures/figureS_application_decision_stability/figureS_application_decision_stability.pdf,experiments/result_analysis/figures/figureS_application_decision_stability/figureS_application_decision_stability.pdf,native Matplotlib export from the matching application workflow,47916,,,,,c89f4bd0d46401ee9de00c840d8d0f7fe6eaeba8dc44faba4e4496cc7d26f6ca
figure,figureS_application_decision_stability,all,svg,figures/figureS_application_decision_stability/figureS_application_decision_stability.svg,experiments/computational_application_case/chapter_results/figures/figureS_application_decision_stability.svg,native Matplotlib export from the matching application workflow,62647,,,,,3892c77fb95ea6087f01e0257f59757938b46f814435049ef1d1e4c3a07a6c5a
figure,figureS_application_decision_stability,all,tiff,figures/figureS_application_decision_stability/figureS_application_decision_stability.tiff,experiments/result_analysis/figures/figureS_application_decision_stability/figureS_application_decision_stability.png,lossless LZW 600-dpi conversion from exact manuscript PNG,536694,,,4359,1479,376e28830fa2a05cf4412e6bde885076030865668e9e049117e052a5dee89a32
figure,figureS_application_derived_metrics,all,png,figures/figureS_application_derived_metrics/figureS_application_derived_metrics.png,author_supplied_manuscript_png/figureS_application_derived_metrics.png,exact author-supplied manuscript PNG,217011,,,4359,1449,2ffbaae379a4464995262057cb9a655b14b74fe4c4026554a4ff3a168da6ac9a
figure,figureS_application_derived_metrics,all,pdf,figures/figureS_application_derived_metrics/figureS_application_derived_metrics.pdf,experiments/result_analysis/figures/figureS_application_derived_metrics/figureS_application_derived_metrics.pdf,native Matplotlib export from the matching application workflow,49539,,,,,5795b3c8a85d136e85e9aab5e2a6496427a12e3572d0f963574be1d098badbc6
figure,figureS_application_derived_metrics,all,svg,figures/figureS_application_derived_metrics/figureS_application_derived_metrics.svg,experiments/computational_application_case/chapter_results/figures/figureS_application_derived_metrics.svg,native Matplotlib export from the matching application workflow,31145,,,,,c9e79d721a43c9c095e8949b98cc0284b3ce8434f49beca7ec4eda3b39a3358d
figure,figureS_application_derived_metrics,all,tiff,figures/figureS_application_derived_metrics/figureS_application_derived_metrics.tiff,experiments/result_analysis/figures/figureS_application_derived_metrics/figureS_application_derived_metrics.png,lossless LZW 600-dpi conversion from exact manuscript PNG,457634,,,4359,1449,e1c928b455b8726e16c37c901143420cc153d5437be1202586f894dbf5709c44
figure,interpretability,all,png,figures/interpretability/interpretability.png,author_supplied_manuscript_png/interpretability.png,exact author-supplied manuscript PNG,1778833,,,4141,4655,8dd049ff972b6382543c3906f425c0d39494a831ebf4ddc4e26ff6e83163f534
figure,interpretability,all,pdf,figures/interpretability/interpretability.pdf,experiments/result_analysis/figures/interpretability/interpretability.pdf,the submitted composite is raster-assembled; no native composite SVG,1059698,,,,,c1f2be2cf690be3e21327f10c7c1a1bcd85f46b64582a74048da20092989bab5
figure,interpretability,all,svg,figures/interpretability/interpretability.svg,experiments/result_analysis/figures/interpretability/interpretability.png,raster-embedded exact manuscript PNG; not native vector,2372080,,,,,ecc7414adc5a468351aa95903252a186996cc79706372751fbc1de4cc5e67fba
figure,interpretability,all,tiff,figures/interpretability/interpretability.tiff,experiments/result_analysis/figures/interpretability/interpretability.png,lossless LZW 600-dpi conversion from exact manuscript PNG,3008702,,,4141,4655,7e2473c6d89f4f1dec727a112f1576f0b8c7230b7f526c9d2e1bffc40d23f26e
