property,feature,feature_cluster,structural_scope,selection_rank,partial_r,fdr_q,selection_stability,main_figure_eligible,quantile_bin,quantile_label,sample_count,n_unique_ils,feature_bin_median,response_log_mean,bootstrap_ci_low,bootstrap_ci_high,uncertainty_definition,monotonic_bin_spearman,turning_point_count,nonlinearity_flag,response_shape_support,confidence_level,line_alpha,full_feature_label,exploratory
Density,cation_logp_scaled,cluster_045,Cation,1,-0.5363709026178868,5.764702553066979e-50,0.922,True,1,Q1,137,685,-0.0865357289578234,0.0539907041274361,0.0415882548906769,0.0769304169129263,identity-level bootstrap 95% CI of bin median,-1.0,0,False,True,Level C,0.62,Cation RDKit MolLogP,False
Density,cation_logp_scaled,cluster_045,Cation,1,-0.5363709026178868,5.764702553066979e-50,0.922,True,2,Q2,137,685,-0.0315938960602697,0.0282351304307528,0.0166371800601927,0.0391028268338935,identity-level bootstrap 95% CI of bin median,-1.0,0,False,True,Level C,0.62,Cation RDKit MolLogP,False
Density,cation_logp_scaled,cluster_045,Cation,1,-0.5363709026178868,5.764702553066979e-50,0.922,True,3,Q3,137,685,0.003684568930161,-0.0072498639999571,-0.0131147043800812,0.0057214436041005,identity-level bootstrap 95% CI of bin median,-1.0,0,False,True,Level C,0.62,Cation RDKit MolLogP,False
Density,cation_logp_scaled,cluster_045,Cation,1,-0.5363709026178868,5.764702553066979e-50,0.922,True,4,Q4,137,685,0.0406825264885974,-0.0330985100254244,-0.0445012024731212,-0.0187826234713774,identity-level bootstrap 95% CI of bin median,-1.0,0,False,True,Level C,0.62,Cation RDKit MolLogP,False
Density,cation_logp_scaled,cluster_045,Cation,1,-0.5363709026178868,5.764702553066979e-50,0.922,True,5,Q5,137,685,0.1372273660969514,-0.101028372641938,-0.1102414609323352,-0.0895391437972392,identity-level bootstrap 95% CI of bin median,-1.0,0,False,True,Level C,0.62,Cation RDKit MolLogP,False
Density,anion_fluorine_fraction,cluster_013,Anion,2,0.515253515932767,1.6083952563945205e-45,0.694,True,1,Q1,137,685,-0.0957130480917524,-0.0359399375216327,-0.0464036320865774,-0.0101158284101428,identity-level bootstrap 95% CI of bin median,0.8999999999999998,2,True,True,Level B,0.96,Anion fluorine fraction,False
Density,anion_fluorine_fraction,cluster_013,Anion,2,0.515253515932767,1.6083952563945205e-45,0.694,True,2,Q2,137,685,-0.0665481487311368,-0.0126390901256501,-0.0187826234713774,0.0126806032067112,identity-level bootstrap 95% CI of bin median,0.8999999999999998,2,True,True,Level B,0.96,Anion fluorine fraction,False
Density,anion_fluorine_fraction,cluster_013,Anion,2,0.515253515932767,1.6083952563945205e-45,0.694,True,3,Q3,137,685,-0.0045194429158961,-0.0255238913481719,-0.0439262689971191,-0.0107551686535272,identity-level bootstrap 95% CI of bin median,0.8999999999999998,2,True,True,Level B,0.96,Anion fluorine fraction,False
Density,anion_fluorine_fraction,cluster_013,Anion,2,0.515253515932767,1.6083952563945205e-45,0.694,True,4,Q4,137,685,-0.0007106251842023,-0.001923242555283,-0.0172983268742461,0.0112733449658755,identity-level bootstrap 95% CI of bin median,0.8999999999999998,2,True,True,Level B,0.96,Anion fluorine fraction,False
Density,anion_fluorine_fraction,cluster_013,Anion,2,0.515253515932767,1.6083952563945205e-45,0.694,True,5,Q5,137,685,0.2657490231730906,0.0569696901536014,0.0324023081278994,0.0868026015033857,identity-level bootstrap 95% CI of bin median,0.8999999999999998,2,True,True,Level B,0.96,Anion fluorine fraction,False
Density,cation_carbon_fraction,cluster_040,Cation,3,-0.5138938641454605,2.4710945348439038e-45,0.67,True,1,Q1,137,685,-0.0838034095335049,0.0647185242209422,0.0463939474754659,0.0841973042071204,identity-level bootstrap 95% CI of bin median,-1.0,0,False,True,Level B,0.96,Cation carbon fraction,False
Density,cation_carbon_fraction,cluster_040,Cation,3,-0.5138938641454605,2.4710945348439038e-45,0.67,True,2,Q2,137,685,-0.0213811819525527,0.0239139048954344,0.0077212516036153,0.0322011720298096,identity-level bootstrap 95% CI of bin median,-1.0,0,False,True,Level B,0.96,Cation carbon fraction,False
Density,cation_carbon_fraction,cluster_040,Cation,3,-0.5138938641454605,2.4710945348439038e-45,0.67,True,3,Q3,137,685,0.0167647401719657,-0.007269963956018,-0.0131147043800812,0.0052971587670467,identity-level bootstrap 95% CI of bin median,-1.0,0,False,True,Level B,0.96,Cation carbon fraction,False
Density,cation_carbon_fraction,cluster_040,Cation,3,-0.5138938641454605,2.4710945348439038e-45,0.67,True,4,Q4,137,685,0.0476408103765234,-0.0455796785774191,-0.0742419040348748,-0.0359321923184335,identity-level bootstrap 95% CI of bin median,-1.0,0,False,True,Level B,0.96,Cation carbon fraction,False
Density,cation_carbon_fraction,cluster_040,Cation,3,-0.5138938641454605,2.4710945348439038e-45,0.67,True,5,Q5,137,685,0.1070842805313082,-0.0697199584709764,-0.0852759973018821,-0.0515322066164447,identity-level bootstrap 95% CI of bin median,-1.0,0,False,True,Level B,0.96,Cation carbon fraction,False
ElectricalConductivity,pair_total_heavy_atom_count_scaled,cluster_057,Ion pair,1,-0.3883178978922249,2.230894280886926e-09,0.8,True,1,Q1,48,240,-0.0292551153651465,0.6595461251263997,0.4774998970562139,0.9229512741921716,identity-level bootstrap 95% CI of bin median,-1.0,0,False,True,Level C,0.62,Pair heavy-atom count,False
ElectricalConductivity,pair_total_heavy_atom_count_scaled,cluster_057,Ion pair,1,-0.3883178978922249,2.230894280886926e-09,0.8,True,2,Q2,48,240,-0.0075397898410565,0.3640022161773706,0.2659431883025059,0.5822193762974267,identity-level bootstrap 95% CI of bin median,-1.0,0,False,True,Level C,0.62,Pair heavy-atom count,False
