sample_id,IL_Name,IL_SMILES,Temperature_K,Pressure_kPa,property,y_true,y_pred,absolute_error,split,split_strategy,split_short,panel,panel_title,plot_included
240,3-(2-allyldimethylammonio)ethyl-1-methylimidazolium bis(dicyanamide),C=CC[N+](C)(C)CCn1cc[n+](C)c1.N#C[N-]C#N.N#C[N-]C#N,353.15,101.325,HeatCapacity,607.0,615.205,8.205017,test,Random point,Point,D,Heat capacity multi-split parity plot,True
3011,1-butyl-3-methylimidazolium hexafluorophosphate,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,325.8,101.325,HeatCapacity,426.00006,425.33044,0.6696167,test,Random point,Point,D,Heat capacity multi-split parity plot,True
4365,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,CC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,325.65,101.325,HeatCapacity,548.00006,577.61127,29.611206,test,Random point,Point,D,Heat capacity multi-split parity plot,True
4476,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1.F[B-](F)(F)F,393.1,101.325,HeatCapacity,260.00006,342.79626,82.7962,test,Random point,Point,D,Heat capacity multi-split parity plot,True
3526,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,313.16,101.325,HeatCapacity,447.99994,445.24945,2.7504883,test,Random point,Point,D,Heat capacity multi-split parity plot,True
3013,1-butyl-3-methylimidazolium hexafluorophosphate,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,328.1,101.325,HeatCapacity,427.10004,426.6469,0.453125,test,Random point,Point,D,Heat capacity multi-split parity plot,True
1585,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,301.15,101.325,HeatCapacity,705.99994,700.1976,5.802368,test,Random point,Point,D,Heat capacity multi-split parity plot,True
2748,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,400.15,101.325,HeatCapacity,627.0,629.4237,2.423706,test,Random point,Point,D,Heat capacity multi-split parity plot,True
1860,1-hexyl-3-methylimidazolium hexafluorophosphate,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,295.15,101.325,HeatCapacity,423.00006,449.43713,26.437073,test,Random point,Point,D,Heat capacity multi-split parity plot,True
5392,1-(2-hydroxyethyl)-3-methylimidazolium L-prolinate,Cn1cc[n+](CCO)c1.O=C([O-])[C@@H]1CCCN1,338.1,100.0,HeatCapacity,413.91,414.62653,0.7165222,test,Random point,Point,D,Heat capacity multi-split parity plot,True
4919,3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,CCn1cc[n+](C)c1.C[C@H](O)C(=O)[O-],305.15,101.325,HeatCapacity,403.00003,405.16037,2.1603394,test,Random point,Point,D,Heat capacity multi-split parity plot,True
1729,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide,CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,304.15,101.325,HeatCapacity,717.00024,715.0367,1.963562,test,Random point,Point,D,Heat capacity multi-split parity plot,True
3356,1-butyl-3-methylimidazolium dicyanamide,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,336.2,101.325,HeatCapacity,377.0,389.97012,12.970123,test,Random point,Point,D,Heat capacity multi-split parity plot,True
