Property,Target train ratio,Target labels,Aux labels in transfer,Target-only MAE,Transfer MAE,Target-only R2,Transfer R2,Target-only log_MAE,Transfer log_MAE,Target-only log_R2,Transfer log_R2
Density,0.1,1254,22956,21.38830947875977,21.57270050048828,0.960668921470642,0.9631674289703368,0.017777357250452,0.0178776774555444,0.9579795002937316,0.9623770713806152
Density,0.25,3136,22956,21.34844970703125,23.94121742248535,0.9549600481987,0.9587870836257936,0.0177245661616325,0.0198947973549366,0.9526772499084472,0.958410918712616
Density,0.5,6272,22956,22.32686424255371,24.35478401184082,0.9569382667541504,0.951513409614563,0.0186467431485652,0.0202505588531494,0.95648992061615,0.9497061967849731
ElectricalConductivity,0.1,378,31723,0.3762796819210052,0.4037195742130279,0.6156871318817139,0.535622239112854,0.4669709205627441,0.5479336380958557,0.7510652542114258,0.7262307405471802
ElectricalConductivity,0.25,944,31723,0.3567822873592376,0.4849010109901428,0.7006021738052368,0.4600128531455993,0.4596729874610901,0.5931081175804138,0.7746208310127258,0.70867520570755
ElectricalConductivity,0.5,1889,31723,0.3941125869750976,0.3952114284038543,0.701434314250946,0.0562520623207092,0.5095006227493286,0.4055965840816498,0.7437052726745605,0.8110222816467285
HeatCapacity,0.1,602,29485,34.806087493896484,39.01367568969727,0.8886902928352356,0.9086546301841736,0.0642592385411262,0.0736432746052742,0.8762425184249878,0.8944881558418274
HeatCapacity,0.25,1504,29485,29.37844657897949,41.09087753295898,0.9332792162895204,0.8603710532188416,0.054409209638834,0.0789460986852645,0.9274677634239196,0.8217540979385376
HeatCapacity,0.5,3008,29485,32.114830017089844,38.41423416137695,0.907304346561432,0.897911548614502,0.0557694397866725,0.0661635398864746,0.9069050550460817,0.9123210906982422
SurfaceTension,0.1,370,31804,0.0036291265860199,0.0028337945695966,0.5538448691368103,0.7094330787658691,0.0968837812542915,0.0746202021837234,0.5665947794914246,0.7309800386428833
SurfaceTension,0.25,924,31804,0.002868830692023,0.0027809813618659,0.6821355819702148,0.710315465927124,0.0748531222343444,0.0742939636111259,0.717882513999939,0.7321903109550476
SurfaceTension,0.5,1848,31804,0.0024688856210559,0.0032695215195417,0.7289567589759827,0.5549778938293457,0.0635799467563629,0.0824146345257759,0.7591425776481628,0.62005615234375
ThermalConductivity,0.1,65,34853,0.0066868769936263,0.0069018239155411,0.7188265323638916,0.8253164887428284,0.0397737473249435,0.0399403795599937,0.7942687273025513,0.8729516267776489
ThermalConductivity,0.25,162,34853,0.00598626723513,0.0062100170180201,0.7651309370994568,0.8282708525657654,0.0346551537513732,0.0363596342504024,0.8334193825721741,0.8785858154296875
ThermalConductivity,0.5,324,34853,0.00637859525159,0.0061119305901229,0.8066827654838562,0.8459330797195435,0.0368378274142742,0.035099022090435,0.8660253882408142,0.8945658802986145
Viscosity,0.1,882,26684,0.4675584435462951,0.2276325523853302,-7.342118263244629,0.4992700219154358,0.512577474117279,0.5200675129890442,0.6952013969421387,0.7473146915435791
Viscosity,0.25,2204,26684,0.193678006529808,0.1917785257101059,0.7204222679138184,0.7078245282173157,0.5109905004501343,0.491517037153244,0.7082809209823608,0.7442299127578735
Viscosity,0.5,4408,26684,0.2323337793350219,0.2571435272693634,0.5378836989402771,0.376013696193695,0.5538496375083923,0.5651266574859619,0.692091166973114,0.6948604583740234
