figure,panel,panel_title,measure,value,unit,source_category,property
dataset_statistics,B,Property-wise label availability after curation,property_label_count,17912.0,labels,observed,Density
dataset_statistics,B,Property-wise label availability after curation,property_label_count,2044.0,labels,exact_condition_copy,Density
dataset_statistics,B,Property-wise label availability after curation,property_label_count,10531.0,labels,temperature_interpolation,Density
dataset_statistics,B,Property-wise label availability after curation,property_label_count,5045.0,labels,observed,ElectricalConductivity
dataset_statistics,B,Property-wise label availability after curation,property_label_count,1110.0,labels,exact_condition_copy,ElectricalConductivity
dataset_statistics,B,Property-wise label availability after curation,property_label_count,9684.0,labels,temperature_interpolation,ElectricalConductivity
dataset_statistics,B,Property-wise label availability after curation,property_label_count,9881.0,labels,observed,HeatCapacity
dataset_statistics,B,Property-wise label availability after curation,property_label_count,831.0,labels,exact_condition_copy,HeatCapacity
dataset_statistics,B,Property-wise label availability after curation,property_label_count,6818.0,labels,temperature_interpolation,HeatCapacity
dataset_statistics,B,Property-wise label availability after curation,property_label_count,5154.0,labels,observed,SurfaceTension
dataset_statistics,B,Property-wise label availability after curation,property_label_count,2227.0,labels,exact_condition_copy,SurfaceTension
dataset_statistics,B,Property-wise label availability after curation,property_label_count,7232.0,labels,temperature_interpolation,SurfaceTension
dataset_statistics,B,Property-wise label availability after curation,property_label_count,843.0,labels,observed,ThermalConductivity
dataset_statistics,B,Property-wise label availability after curation,property_label_count,129.0,labels,exact_condition_copy,ThermalConductivity
dataset_statistics,B,Property-wise label availability after curation,property_label_count,5152.0,labels,temperature_interpolation,ThermalConductivity
dataset_statistics,B,Property-wise label availability after curation,property_label_count,12083.0,labels,observed,Viscosity
dataset_statistics,B,Property-wise label availability after curation,property_label_count,1653.0,labels,exact_condition_copy,Viscosity
dataset_statistics,B,Property-wise label availability after curation,property_label_count,11883.0,labels,temperature_interpolation,Viscosity
dataset_statistics,B,Property-wise label availability after curation,property_total_labels,30487.0,labels,,Density
dataset_statistics,B,Property-wise label availability after curation,property_unique_ils,980.0,ILs,,Density
dataset_statistics,B,Property-wise label availability after curation,property_total_labels,15839.0,labels,,ElectricalConductivity
dataset_statistics,B,Property-wise label availability after curation,property_unique_ils,411.0,ILs,,ElectricalConductivity
dataset_statistics,B,Property-wise label availability after curation,property_total_labels,17530.0,labels,,HeatCapacity
dataset_statistics,B,Property-wise label availability after curation,property_unique_ils,268.0,ILs,,HeatCapacity
dataset_statistics,B,Property-wise label availability after curation,property_total_labels,14613.0,labels,,SurfaceTension
dataset_statistics,B,Property-wise label availability after curation,property_unique_ils,402.0,ILs,,SurfaceTension
dataset_statistics,B,Property-wise label availability after curation,property_total_labels,6124.0,labels,,ThermalConductivity
dataset_statistics,B,Property-wise label availability after curation,property_unique_ils,82.0,ILs,,ThermalConductivity
dataset_statistics,B,Property-wise label availability after curation,property_total_labels,25619.0,labels,,Viscosity
dataset_statistics,B,Property-wise label availability after curation,property_unique_ils,779.0,ILs,,Viscosity
