property_label,property,unit,IL,case_id,value,plot_value,normalized_to_pair_max
Density,Density,kg m^-3,[BMIM][NTf2],BMIM_NTf2,1445.3370361328125,1445.3370361328125,1.0
Density,Density,kg m^-3,[BMIM][BF4],BMIM_BF4,1198.9552001953125,1198.9552001953125,0.82953329930801
Heat capacity,HeatCapacity,J mol^-1 K^-1,[BMIM][NTf2],BMIM_NTf2,560.6355590820312,560.6355590820312,1.0
Heat capacity,HeatCapacity,J mol^-1 K^-1,[BMIM][BF4],BMIM_BF4,371.099609375,371.099609375,0.6619266355181394
Surface tension,SurfaceTension,mN m^-1,[BMIM][NTf2],BMIM_NTf2,0.033271674066782,33.271674066782,0.7404338726910605
Surface tension,SurfaceTension,mN m^-1,[BMIM][BF4],BMIM_BF4,0.044935375452041626,44.935375452041626,1.0
Thermal cond.,ThermalConductivity,W m^-1 K^-1,[BMIM][NTf2],BMIM_NTf2,0.12468195706605911,0.12468195706605911,0.7367195032904795
Thermal cond.,ThermalConductivity,W m^-1 K^-1,[BMIM][BF4],BMIM_BF4,0.16923938691616058,0.16923938691616058,1.0
Electrical cond.,ElectricalConductivity,S m^-1,[BMIM][NTf2],BMIM_NTf2,0.4372478425502777,0.4372478425502777,1.0
Electrical cond.,ElectricalConductivity,S m^-1,[BMIM][BF4],BMIM_BF4,0.3256126046180725,0.3256126046180725,0.7446865894612879
Viscosity,Viscosity,mPa s,[BMIM][NTf2],BMIM_NTf2,0.049227919429540634,49.227919429540634,0.48074123793100937
Viscosity,Viscosity,mPa s,[BMIM][BF4],BMIM_BF4,0.1024000346660614,102.4000346660614,1.0
