domain,motif,property,property_short,n_present,n_absent,present_median_abs_log_error,absent_median_abs_log_error,delta_median_abs_log_error
ani,NTf2/FSI,Density,Density,793,1844,0.0026737134996990264,0.002510730655593818,0.00016298284410520836
ani,NTf2/FSI,Viscosity,Visc.,503,1267,0.04589229110490223,0.06186787400906102,-0.01597558290415879
ani,NTf2/FSI,ElectricalConductivity,EC,234,489,0.06374043294444362,0.06426334910296028,-0.0005229161585166564
ani,NTf2/FSI,HeatCapacity,HC,486,997,0.006387481567027731,0.004620638040664815,0.0017668435263629156
ani,NTf2/FSI,SurfaceTension,ST,205,575,0.013576633695435714,0.009514857254074194,0.00406177644136152
ani,NTf2/FSI,ThermalConductivity,TC,18,105,,,
ani,halide,Density,Density,146,2491,0.0028820290225830547,0.0025467320383523173,0.0003352969842307374
ani,halide,Viscosity,Visc.,73,1697,0.10536272370264832,0.05494074616927613,0.050421977533372186
ani,halide,ElectricalConductivity,EC,35,688,0.07580884555952283,0.06293432496273879,0.01287452059678404
ani,halide,HeatCapacity,HC,114,1369,0.004539668306475342,0.0053233952650302285,-0.0007837269585548867
ani,halide,SurfaceTension,ST,101,679,0.011590811013852953,0.010100629019637264,0.001490181994215689
ani,halide,ThermalConductivity,TC,6,117,,,
ani,fluorinated,Density,Density,1261,1376,0.002603929431558072,0.002535381979503981,6.854745205409074e-05
ani,fluorinated,Viscosity,Visc.,913,857,0.04779645618926086,0.06659998950140222,-0.018803533312141366
ani,fluorinated,ElectricalConductivity,EC,471,252,0.058250170597773376,0.0812539953195629,-0.023003824721789523
ani,fluorinated,HeatCapacity,HC,1008,475,0.0047442972330666855,0.005985670766155415,-0.0012413735330887299
ani,fluorinated,SurfaceTension,ST,432,348,0.009814035230059526,0.011093542965049608,-0.0012795077349900819
ani,fluorinated,ThermalConductivity,TC,51,72,0.008076298723652675,0.006660019832524844,0.0014162788911278312
ani,sulfonyl,Density,Density,1047,1590,0.0026854075280970946,0.002485474915457697,0.00019993261263939743
ani,sulfonyl,Viscosity,Visc.,632,1138,0.04914690723167281,0.062032240290630924,-0.012885333058958115
ani,sulfonyl,ElectricalConductivity,EC,280,443,0.06235603852725635,0.06556202886994122,-0.0032059903426848724
ani,sulfonyl,HeatCapacity,HC,597,886,0.0071262853008100535,0.004375771826787833,0.0027505134740222204
ani,sulfonyl,SurfaceTension,ST,233,547,0.012062330481619199,0.009614479439989942,0.0024478510416292565
ani,sulfonyl,ThermalConductivity,TC,41,82,0.012538710677004072,0.005187873559559852,0.00735083711744422
ani,carboxylate,Density,Density,388,2249,0.0020420888088286127,0.0026779409924371222,-0.0006358521836085096
ani,carboxylate,Viscosity,Visc.,172,1598,0.07194682887792847,0.05353704518252056,0.01840978369540791
ani,carboxylate,ElectricalConductivity,EC,58,665,0.08282492921523299,0.06235514758575267,0.02046978162948032
ani,carboxylate,HeatCapacity,HC,85,1398,0.006867946811203396,0.005085007018636123,0.001782939792567273
ani,carboxylate,SurfaceTension,ST,79,701,0.008015834233390695,0.010567428077643548,-0.002551593844252853
ani,carboxylate,ThermalConductivity,TC,22,101,0.003526800271808961,0.008243124312214745,-0.004716324040405784
ani,nitrile,Density,Density,238,2399,0.00249155803838752,0.0025810320234151973,-8.947398502767712e-05
ani,nitrile,Viscosity,Visc.,283,1487,0.05781615373785254,0.05518238225325245,0.0026337714846000893
ani,nitrile,ElectricalConductivity,EC,70,653,0.0938023195577824,0.06259308459512836,0.031209234962654042
ani,nitrile,HeatCapacity,HC,82,1401,0.006048162468196949,0.00513456055429895,0.0009136019138979989
ani,nitrile,SurfaceTension,ST,93,687,0.01470623110699476,0.009774500501791739,0.004931730605203022
ani,nitrile,ThermalConductivity,TC,18,105,,,
ani,phosphate,Density,Density,39,2598,0.0029215317636737126,0.0025573039400486053,0.0003642278236251073
ani,phosphate,Viscosity,Visc.,32,1738,0.08077788856596044,0.055390213183071975,0.025387675382888462
ani,phosphate,ElectricalConductivity,EC,0,723,,,
ani,phosphate,HeatCapacity,HC,8,1475,,,
ani,phosphate,SurfaceTension,ST,9,771,,,
ani,phosphate,ThermalConductivity,TC,2,121,,,
ani,amino acid,Density,Density,75,2562,0.0046329793429338295,0.0025205487995823006,0.002112430543351529
ani,amino acid,Viscosity,Visc.,57,1713,0.09222981483757486,0.05510714140643547,0.0371226734311394
ani,amino acid,ElectricalConductivity,EC,12,711,,,
ani,amino acid,HeatCapacity,HC,33,1450,0.016239997505687498,0.005095055956257699,0.011144941549429799
ani,amino acid,SurfaceTension,ST,47,733,0.006126688765912824,0.010567428077643548,-0.004440739311730724
ani,amino acid,ThermalConductivity,TC,13,110,,,
